iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
44000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.31169e-08,2.80217e-07,0.0385356,2.57437e-08,6.63608e-08,3.56582e-07,1,0.999984,0.846069,0.127764,0.462117,4.27233
44000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.19252e-08,7.16079e-08,0.0393766,5.08674e-09,4.30775e-08,1.11886e-07,1,0.999997,0.986886,0.124572,0.462626,4.15293
44000,"optimizer.distributed.dp_group_idx_5.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.81614e-08,1.40623e-07,0.0381487,1.2066e-08,5.47159e-08,1.96492e-07,1,0.999995,0.935356,0.124268,0.452377,4.23554
44000,"optimizer.distributed.dp_group_idx_6.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.19605e-08,2.50219e-07,0.0387508,3.11794e-08,6.68621e-08,3.20944e-07,1,0.999978,0.828681,0.128969,0.464601,4.28364
44000,"optimizer.distributed.dp_group_idx_6.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.19891e-08,6.73649e-08,0.0395246,5.21676e-09,4.3002e-08,1.0815e-07,1,0.999998,0.987924,0.124347,0.462093,4.12326
44000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.04528e-08,4.79765e-08,0.0379086,2.58692e-09,4.45326e-08,7.06678e-08,1,0.999999,0.99709,0.120265,0.45004,4.12587
44000,"optimizer.distributed.dp_group_idx_8.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.36709e-08,7.79199e-08,0.0381296,5.12892e-09,5.13182e-08,1.43395e-07,1,0.999998,0.971316,0.123002,0.452925,4.19898
44000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.36437e-08,2.42398e-07,0.0388542,1.81688e-08,6.49939e-08,2.22142e-07,1,0.999993,0.892699,0.130048,0.466868,4.30193
44000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.68413e-08,1.1503e-07,0.0383817,8.24355e-09,4.87679e-08,2.09399e-07,1,0.999993,0.929624,0.123669,0.467468,4.24675
60000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.95751e-08,1.93243e-07,0.0413931,3.60585e-08,7.48334e-08,2.99028e-07,1,0.999993,0.801682,0.12996,0.466456,4.00006
60000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,1.4101e-07,4.88679e-07,0.0365285,9.78298e-09,5.4054e-08,7.53669e-07,1,0.999936,0.757569,0.10291,0.418899,3.61671
60000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.11591e-08,5.36878e-08,0.0416359,3.91596e-09,4.48648e-08,9.69451e-08,1,1,0.990906,0.122376,0.45111,3.84324
