iter,source,mask,weight,n_tokens,mean_loss,pos_1_8,pos_9_32,pos_33_128,pos_129_512,pos_513_2048,pos_2049_inf
64000,hplt-4.0,block,0.195051,32768,1.852764,4.097012,2.290584,1.936563,1.777432,1.805130,2.186363
64000,hplt-4.0,dense,0.195051,32768,1.868198,4.304053,2.363663,1.959376,1.790277,1.815710,2.194191
64000,common-pile-stackv2-0.1,block,0.185481,32768,1.030946,2.955724,1.134496,1.149688,0.894009,0.952263,1.234126
64000,common-pile-stackv2-0.1,dense,0.185481,32768,1.044076,3.223969,1.333987,1.236986,0.905985,0.956914,1.234154
64000,mixture-vitae-1.0,block,0.114685,32768,1.579290,2.485949,1.444626,1.443300,1.724435,1.535808,1.350191
64000,mixture-vitae-1.0,dense,0.114685,32768,1.403134,2.263881,1.119700,1.189358,1.495437,1.401219,1.354112
64000,dclm-1.0,block,0.090498,32768,2.373231,3.807429,2.762417,2.624476,2.360782,2.274302,2.295830
64000,dclm-1.0,dense,0.090498,32768,2.391849,4.062774,2.896560,2.656810,2.378890,2.279573,2.297821
64000,megamath-0.0.0,block,0.084813,32768,1.417083,3.834123,1.853633,1.428404,1.502181,1.304336,1.224217
64000,megamath-0.0.0,dense,0.084813,32768,1.448882,4.300503,2.068903,1.509791,1.526494,1.311664,1.225260
64000,finephrase-0.0.0,block,0.065006,32768,1.741652,2.768274,1.918710,1.730826,1.694894,1.467463,
64000,finephrase-0.0.0,dense,0.065006,32768,1.780421,2.953615,2.044632,1.763717,1.719364,1.489325,
64000,nemotron-cc-1.0,block,0.047346,32768,2.240920,4.122966,2.744162,2.322598,2.207918,2.225208,1.669310
64000,nemotron-cc-1.0,dense,0.047346,32768,2.257199,4.252372,2.792831,2.349883,2.218879,2.232934,1.695962
64000,nemotron-pretraining-specialized-1.0,block,0.045580,32768,0.661781,2.612723,2.217510,1.109373,0.938081,0.704610,0.532035
64000,nemotron-pretraining-specialized-1.0,dense,0.045580,32768,0.661781,2.612723,2.217510,1.109373,0.938081,0.704610,0.532035
64000,finepdfs-edu-1.0.0,block,0.035575,32768,2.155151,4.549922,2.897753,2.242269,2.081178,2.228745,1.986552
64000,finepdfs-edu-1.0.0,dense,0.035575,32768,2.158681,4.569761,2.937864,2.244673,2.084788,2.233187,1.986462
64000,nemotron-cc-tower+-0.1,block,0.028063,32768,1.928725,4.106392,2.455961,1.998992,1.839946,1.827851,2.855842
64000,nemotron-cc-tower+-0.1,dense,0.028063,32768,1.942416,4.049820,2.502055,2.033274,1.852123,1.833629,2.866127
64000,starcoder-0.0.0,block,0.016797,32768,0.772418,3.390700,1.848080,1.178892,0.736074,0.702530,0.468479
64000,starcoder-0.0.0,dense,0.016797,32768,0.782594,3.435119,1.929631,1.226529,0.743949,0.705063,0.470032
64000,common-pile-stackv2-edu-0.1,block,0.010675,32768,1.571919,4.548688,2.348796,1.752303,1.552533,1.430742,1.512795
64000,common-pile-stackv2-edu-0.1,dense,0.010675,32768,1.586288,4.850706,2.470678,1.776017,1.561357,1.435426,1.515402
64000,finemath-0.0.0,block,0.010499,32768,1.291706,3.476954,1.697420,1.335392,1.243960,1.268825,0.859927
64000,finemath-0.0.0,dense,0.010499,32768,1.337234,4.340224,2.147508,1.402282,1.264007,1.277535,0.859034
64000,dolmino-mix-100b-1125,block,0.010362,32768,0.877754,5.215963,1.752565,0.918192,0.509865,0.347621,0.566928
64000,dolmino-mix-100b-1125,dense,0.010362,32768,0.839311,4.699732,1.671370,0.881864,0.505337,0.346871,0.568200
64000,finepdfs-1.0.0,block,0.009619,32768,1.833646,5.324087,2.906383,2.268476,1.927274,1.887516,1.269611
64000,finepdfs-1.0.0,dense,0.009619,32768,1.842194,5.188058,2.956879,2.302496,1.939846,1.892304,1.274514
64000,swallow-math-2.0,block,0.009344,32768,0.289678,0.758733,1.540338,0.443212,0.234686,0.225997,0.185320
64000,swallow-math-2.0,dense,0.009344,32768,0.317085,0.898294,1.719328,0.501000,0.262044,0.236915,0.185320
64000,nemotron-cc-opus-1.1,block,0.008867,32768,2.554301,5.252969,2.983945,2.591148,2.518939,2.452490,1.939418
64000,nemotron-cc-opus-1.1,dense,0.008867,32768,2.557037,4.724893,2.968922,2.612583,2.529903,2.461600,1.940180
64000,nemotron-mind-0.0,block,0.008820,32768,0.809924,0.591055,1.191498,1.241822,0.764978,0.408682,
64000,nemotron-mind-0.0,dense,0.008820,32768,0.878020,1.044262,1.426255,1.353616,0.811111,0.433834,
64000,fineopus-filtered-0.4,block,0.006488,32768,1.613247,4.130035,2.336585,1.798422,1.584301,1.553256,1.720021
64000,fineopus-filtered-0.4,dense,0.006488,32768,1.655332,4.140721,2.745770,1.880287,1.626526,1.591883,1.728870
64000,agenttrove-0.0,block,0.005392,32768,0.284097,0.443065,0.000940,0.000090,0.001149,0.384611,0.282416
64000,agenttrove-0.0,dense,0.005392,32768,0.284750,0.393887,0.093275,0.000317,0.002511,0.384611,0.282416
64000,openwebmath-0.0.0,block,0.003678,32768,1.489337,3.764591,2.068054,1.557018,1.536513,1.407158,1.289923
64000,openwebmath-0.0.0,dense,0.003678,32768,1.510215,4.163439,2.269395,1.598696,1.556392,1.410555,1.289369
64000,swallow-code-2.0,block,0.003345,32768,0.526068,2.336462,1.488393,1.102140,0.630284,0.467251,0.344259
64000,swallow-code-2.0,dense,0.003345,32768,0.535945,2.702219,1.585619,1.139718,0.643650,0.471903,0.344575
64000,nemotron-pretraining-specialized-1.1,block,0.002736,32768,0.406686,0.938699,0.795035,0.696519,0.308228,0.213775,
64000,nemotron-pretraining-specialized-1.1,dense,0.002736,32768,0.406254,0.898580,0.788538,0.676446,0.314738,0.217900,
64000,finewiki-0.0.0,block,0.001921,32768,1.125052,3.934375,0.800034,0.744598,1.088410,1.506486,1.621115
64000,finewiki-0.0.0,dense,0.001921,32768,1.108466,3.460807,0.670200,0.754665,1.097151,1.511225,1.636755
64000,dochplt-3.1,block,0.001485,32768,1.380431,2.984371,2.042890,1.825739,1.366997,1.287757,0.540346
64000,dochplt-3.1,dense,0.001485,32768,1.292222,2.734432,1.850310,1.466604,1.302732,1.297559,0.542082
