iter,run,tensor,layer,n_neurons,row_rms_med,row_rms_min,row_rms_p01,frac_below_10pct_med,frac_below_25pct_med,frac_below_50pct_med
34454,flagship,self_attention.linear_proj,58,5120,0.0287517,0.0249502,0.0269413,0,0,0
34454,flagship,self_attention.linear_proj,59,5120,0.027352,0.0232248,0.0256799,0,0,0
34454,flagship,self_attention.linear_proj,60,5120,0.0250878,0.0218217,0.0235699,0,0,0
34454,flagship,self_attention.linear_proj,61,5120,0.0238106,0.0194713,0.0218251,0,0,0
34454,flagship,self_attention.linear_proj,62,5120,0.0199319,0.0162779,0.0184795,0,0,0
34454,flagship,self_attention.linear_proj,63,5120,0.0152482,0.0122767,0.0136905,0,0,0
34454,flagship,mlp.linear_fc2,0,5120,0.0322585,0.0294395,0.0314596,0,0,0
34454,flagship,mlp.linear_fc2,1,5120,0.0336329,0.028334,0.0329867,0,0,0
34454,flagship,mlp.linear_fc2,2,5120,0.0345192,0.026717,0.0335966,0,0,0
34454,flagship,mlp.linear_fc2,3,5120,0.0342228,0.0267332,0.0333856,0,0,0
34454,flagship,mlp.linear_fc2,4,5120,0.0338944,0.0251661,0.0327852,0,0,0
34454,flagship,mlp.linear_fc2,5,5120,0.0337061,0.0254471,0.0325389,0,0,0
34454,flagship,mlp.linear_fc2,6,5120,0.0339912,0.0266617,0.0327127,0,0,0
34454,flagship,mlp.linear_fc2,7,5120,0.0344619,0.0280719,0.0334239,0,0,0
34454,flagship,mlp.linear_fc2,8,5120,0.0348963,0.0271741,0.0340809,0,0,0
34454,flagship,mlp.linear_fc2,9,5120,0.0349611,0.0254605,0.03406,0,0,0
34454,flagship,mlp.linear_fc2,10,5120,0.0350467,0.0240715,0.0342063,0,0,0
34454,flagship,mlp.linear_fc2,11,5120,0.0351242,0.0220522,0.0343378,0,0,0
34454,flagship,mlp.linear_fc2,12,5120,0.0351215,0.0215643,0.0343422,0,0,0
34454,flagship,mlp.linear_fc2,13,5120,0.0350332,0.0212666,0.0342142,0,0,0
34454,flagship,mlp.linear_fc2,14,5120,0.0348679,0.0204769,0.0339447,0,0,0
34454,flagship,mlp.linear_fc2,15,5120,0.0346046,0.0198586,0.0335999,0,0,0
34454,flagship,mlp.linear_fc2,16,5120,0.0342684,0.0202699,0.0331284,0,0,0
34454,flagship,mlp.linear_fc2,17,5120,0.0342537,0.0204267,0.0332716,0,0,0
34454,flagship,mlp.linear_fc2,18,5120,0.0342036,0.0204437,0.0332449,0,0,0
34454,flagship,mlp.linear_fc2,19,5120,0.0343172,0.0204702,0.0334081,0,0,0
34454,flagship,mlp.linear_fc2,20,5120,0.0343164,0.0208564,0.0333935,0,0,0
34454,flagship,mlp.linear_fc2,21,5120,0.034172,0.02212,0.0331255,0,0,0
34454,flagship,mlp.linear_fc2,22,5120,0.0342531,0.0229494,0.033333,0,0,0
34454,flagship,mlp.linear_fc2,23,5120,0.0343003,0.0245159,0.0334447,0,0,0
34454,flagship,mlp.linear_fc2,24,5120,0.0345404,0.025789,0.0337822,0,0,0
34454,flagship,mlp.linear_fc2,25,5120,0.0346662,0.0275391,0.0339698,0,0,0
34454,flagship,mlp.linear_fc2,26,5120,0.034653,0.0296348,0.0338577,0,0,0
34454,flagship,mlp.linear_fc2,27,5120,0.0348548,0.0325467,0.0341739,0,0,0
34454,flagship,mlp.linear_fc2,28,5120,0.0349477,0.0333472,0.0343034,0,0,0
34454,flagship,mlp.linear_fc2,29,5120,0.035044,0.0331883,0.0344545,0,0,0
34454,flagship,mlp.linear_fc2,30,5120,0.0350889,0.0330535,0.0344935,0,0,0
34454,flagship,mlp.linear_fc2,31,5120,0.035229,0.0329397,0.0346168,0,0,0
34454,flagship,mlp.linear_fc2,32,5120,0.0353794,0.0326395,0.0347954,0,0,0
34454,flagship,mlp.linear_fc2,33,5120,0.0354923,0.0328692,0.0349309,0,0,0
34454,flagship,mlp.linear_fc2,34,5120,0.0355868,0.032275,0.0350202,0,0,0
34454,flagship,mlp.linear_fc2,35,5120,0.035677,0.0320814,0.0351252,0,0,0
34454,flagship,mlp.linear_fc2,36,5120,0.0357772,0.0320497,0.0352075,0,0,0
34454,flagship,mlp.linear_fc2,37,5120,0.0359153,0.0318735,0.0353075,0,0,0
34454,flagship,mlp.linear_fc2,38,5120,0.0360187,0.0319441,0.0354382,0,0,0
34454,flagship,mlp.linear_fc2,39,5120,0.0360916,0.0318035,0.0354454,0,0,0
34454,flagship,mlp.linear_fc2,40,5120,0.0361459,0.0317912,0.0355365,0,0,0
34454,flagship,mlp.linear_fc2,41,5120,0.036177,0.0317699,0.035539,0,0,0
34454,flagship,mlp.linear_fc2,42,5120,0.0362224,0.0321619,0.0355466,0,0,0
34454,flagship,mlp.linear_fc2,43,5120,0.0362476,0.0321136,0.0355132,0,0,0
34454,flagship,mlp.linear_fc2,44,5120,0.036267,0.0320452,0.035491,0,0,0
34454,flagship,mlp.linear_fc2,45,5120,0.0362997,0.0323907,0.0353957,0,0,0
34454,flagship,mlp.linear_fc2,46,5120,0.0363223,0.0325601,0.03541,0,0,0
34454,flagship,mlp.linear_fc2,47,5120,0.0363303,0.0323627,0.0354115,0,0,0
34454,flagship,mlp.linear_fc2,48,5120,0.0363568,0.0324342,0.0353234,0,0,0
34454,flagship,mlp.linear_fc2,49,5120,0.0363636,0.0323991,0.0353325,0,0,0
34454,flagship,mlp.linear_fc2,50,5120,0.0363576,0.0321634,0.0352508,0,0,0
34454,flagship,mlp.linear_fc2,51,5120,0.036373,0.0323504,0.0351852,0,0,0
34454,flagship,mlp.linear_fc2,52,5120,0.0363679,0.0319467,0.0350623,0,0,0
34454,flagship,mlp.linear_fc2,53,5120,0.0363326,0.0322681,0.0350382,0,0,0
34454,flagship,mlp.linear_fc2,54,5120,0.0362701,0.0321961,0.0349851,0,0,0
34454,flagship,mlp.linear_fc2,55,5120,0.0361633,0.0321203,0.0349076,0,0,0
34454,flagship,mlp.linear_fc2,56,5120,0.0359967,0.031869,0.0348177,0,0,0
34454,flagship,mlp.linear_fc2,57,5120,0.0355446,0.0316515,0.0344847,0,0,0
34454,flagship,mlp.linear_fc2,58,5120,0.0348101,0.031541,0.0338573,0,0,0
34454,flagship,mlp.linear_fc2,59,5120,0.0337046,0.0311514,0.0328505,0,0,0
34454,flagship,mlp.linear_fc2,60,5120,0.0323913,0.0307737,0.03155,0,0,0
34454,flagship,mlp.linear_fc2,61,5120,0.0300052,0.0287141,0.0291584,0,0,0
34454,flagship,mlp.linear_fc2,62,5120,0.0271671,0.0248855,0.0260421,0,0,0
34454,flagship,mlp.linear_fc2,63,5120,0.0232597,0.0180984,0.0209881,0,0,0
34454,flagship,mlp.linear_fc1,0,51200,0.0310663,0.0253341,0.027203,0,0,0
34454,flagship,mlp.linear_fc1,1,51200,0.0362773,0.0284057,0.0330433,0,0,0
34454,flagship,mlp.linear_fc1,2,51200,0.0372854,0.0284316,0.0337827,0,0,0
34454,flagship,mlp.linear_fc1,3,51200,0.0363479,0.0286574,0.032486,0,0,0
34454,flagship,mlp.linear_fc1,4,51200,0.0355481,0.0258371,0.0316051,0,0,0
34454,flagship,mlp.linear_fc1,5,51200,0.0348166,0.0273189,0.0311479,0,0,0
34454,flagship,mlp.linear_fc1,6,51200,0.0345826,0.0255103,0.0311363,0,0,0
34454,flagship,mlp.linear_fc1,7,51200,0.0349526,0.0283724,0.0312724,0,0,0
34454,flagship,mlp.linear_fc1,8,51200,0.0352601,0.0287871,0.0319264,0,0,0
34454,flagship,mlp.linear_fc1,9,51200,0.0354166,0.0283105,0.0324058,0,0,0
34454,flagship,mlp.linear_fc1,10,51200,0.0354647,0.0282123,0.0325458,0,0,0
34454,flagship,mlp.linear_fc1,11,51200,0.0355655,0.0282272,0.0329575,0,0,0
34454,flagship,mlp.linear_fc1,12,51200,0.0356144,0.0290519,0.0331959,0,0,0
34454,flagship,mlp.linear_fc1,13,51200,0.0356595,0.0308711,0.0333781,0,0,0
34454,flagship,mlp.linear_fc1,14,51200,0.035639,0.0307956,0.03338,0,0,0
34454,flagship,mlp.linear_fc1,15,51200,0.0354295,0.0307473,0.033162,0,0,0
34454,flagship,mlp.linear_fc1,16,51200,0.0351396,0.0294488,0.0327673,0,0,0
34454,flagship,mlp.linear_fc1,17,51200,0.0346894,0.0270127,0.0322318,0,0,0
34454,flagship,mlp.linear_fc1,18,51200,0.0346835,0.0270504,0.032269,0,0,0
34454,flagship,mlp.linear_fc1,19,51200,0.0346639,0.0295845,0.0323833,0,0,0
34454,flagship,mlp.linear_fc1,20,51200,0.0345951,0.0300208,0.0323362,0,0,0
34454,flagship,mlp.linear_fc1,21,51200,0.0344966,0.0282542,0.0322048,0,0,0
34454,flagship,mlp.linear_fc1,22,51200,0.0345799,0.0296026,0.0324408,0,0,0
