iter,tensor,layer,n,median_abs,min_abs,frac_negative,frac_below_50pct_med,frac_below_25pct_med,frac_below_10pct_med,frac_below_01pct_med,p01_over_med,p10_over_med
8000,linear_qkv,60,5120,0.988281,0.933594,0,0,0,0,0,0.976285,0.988142
8000,linear_qkv,61,5120,1,0.9375,0,0,0,0,0,0.964844,0.984375
8000,linear_qkv,62,5120,0.988281,0.9375,0,0,0,0,0,0.980237,0.988142
8000,linear_qkv,63,5120,0.984375,0.941406,0,0,0,0,0,0.984127,0.992063
8000,linear_fc1,0,5120,0.914062,0.761719,0,0,0,0,0,0.94953,0.982906
8000,linear_fc1,1,5120,0.90625,0.746094,0,0,0,0,0,0.943966,0.982759
8000,linear_fc1,2,5120,0.914062,0.746094,0,0,0,0,0,0.953803,0.982906
8000,linear_fc1,3,5120,0.886719,0.773438,0,0,0,0,0,0.964758,0.982379
8000,linear_fc1,4,5120,0.894531,0.808594,0,0,0,0,0,0.965066,0.982096
8000,linear_fc1,5,5120,0.867188,0.789062,0,0,0,0,0,0.968468,0.981982
8000,linear_fc1,6,5120,0.851562,0.796875,0,0,0,0,0,0.96789,0.981651
8000,linear_fc1,7,5120,0.867188,0.816406,0,0,0,0,0,0.968468,0.981982
8000,linear_fc1,8,5120,0.875,0.816406,0,0,0,0,0,0.96875,0.982143
8000,linear_fc1,9,5120,0.890625,0.84375,0,0,0,0,0,0.969298,0.982456
8000,linear_fc1,10,5120,0.898438,0.847656,0,0,0,0,0,0.973913,0.982609
8000,linear_fc1,11,5120,0.910156,0.871094,0,0,0,0,0,0.974249,0.982833
8000,linear_fc1,12,5120,0.917969,0.863281,0,0,0,0,0,0.974468,0.987234
8000,linear_fc1,13,5120,0.929688,0.882812,0,0,0,0,0,0.97479,0.987395
8000,linear_fc1,14,5120,0.9375,0.894531,0,0,0,0,0,0.975,0.9875
8000,linear_fc1,15,5120,0.945312,0.898438,0,0,0,0,0,0.975207,0.983471
8000,linear_fc1,16,5120,0.949219,0.910156,0,0,0,0,0,0.971193,0.983539
8000,linear_fc1,17,5120,0.949219,0.910156,0,0,0,0,0,0.975309,0.987654
8000,linear_fc1,18,5120,0.957031,0.90625,0,0,0,0,0,0.971429,0.983673
8000,linear_fc1,19,5120,0.960938,0.925781,0,0,0,0,0,0.97561,0.987805
8000,linear_fc1,20,5120,0.964844,0.925781,0,0,0,0,0,0.975709,0.987854
8000,linear_fc1,21,5120,0.972656,0.9375,0,0,0,0,0,0.975904,0.983936
8000,linear_fc1,22,5120,0.976562,0.9375,0,0,0,0,0,0.976,0.988
8000,linear_fc1,23,5120,0.976562,0.9375,0,0,0,0,0,0.98,0.988
8000,linear_fc1,24,5120,0.984375,0.941406,0,0,0,0,0,0.97619,0.988095
8000,linear_fc1,25,5120,0.992188,0.953125,0,0,0,0,0,0.972441,0.984252
8000,linear_fc1,26,5120,0.996094,0.953125,0,0,0,0,0,0.976471,0.988235
8000,linear_fc1,27,5120,1,0.964844,0,0,0,0,0,0.976562,0.988281
8000,linear_fc1,28,5120,1.00781,0.972656,0,0,0,0,0,0.976744,0.984496
8000,linear_fc1,29,5120,1.01562,0.976562,0,0,0,0,0,0.973077,0.984615
8000,linear_fc1,30,5120,1.01562,0.980469,0,0,0,0,0,0.980769,0.992308
8000,linear_fc1,31,5120,1.02344,0.984375,0,0,0,0,0,0.977099,0.984733
8000,linear_fc1,32,5120,1.02344,0.988281,0,0,0,0,0,0.977099,0.992366
8000,linear_fc1,33,5120,1.03125,0.992188,0,0,0,0,0,0.977273,0.992424
8000,linear_fc1,34,5120,1.03906,1,0,0,0,0,0,0.977444,0.984962
8000,linear_fc1,35,5120,1.04688,1.00781,0,0,0,0,0,0.970149,0.985075
8000,linear_fc1,36,5120,1.04688,1,0,0,0,0,0,0.977612,0.985075
8000,linear_fc1,37,5120,1.05469,1.00781,0,0,0,0,0,0.977778,0.985185
8000,linear_fc1,38,5120,1.05469,1.00781,0,0,0,0,0,0.977778,0.992593
8000,linear_fc1,39,5120,1.0625,1,0,0,0,0,0,0.977941,0.985294
8000,linear_fc1,40,5120,1.07031,1.00781,0,0,0,0,0,0.970803,0.985401
8000,linear_fc1,41,5120,1.07031,1,0,0,0,0,0,0.978102,0.992701
8000,linear_fc1,42,5120,1.07812,1,0,0,0,0,0,0.971014,0.985507
8000,linear_fc1,43,5120,1.08594,0.988281,0,0,0,0,0,0.964029,0.985612
8000,linear_fc1,44,5120,1.08594,0.976562,0,0,0,0,0,0.964029,0.985612
8000,linear_fc1,45,5120,1.09375,0.972656,0,0,0,0,0,0.957143,0.985714
8000,linear_fc1,46,5120,1.10156,0.96875,0,0,0,0,0,0.950355,0.978723
8000,linear_fc1,47,5120,1.10156,0.957031,0,0,0,0,0,0.943262,0.985816
8000,linear_fc1,48,5120,1.10938,0.949219,0,0,0,0,0,0.93662,0.978873
8000,linear_fc1,49,5120,1.10938,0.941406,0,0,0,0,0,0.93662,0.978873
8000,linear_fc1,50,5120,1.11719,0.929688,0,0,0,0,0,0.923077,0.979021
