iter,layer,h_in_rms,attn_rms,attn_ratio,attn_cos,h_mid_rms,mlp_rms,mlp_ratio,mlp_cos,h_out_rms,attn_gain_rms,mlp_gain_rms
64000,45,219.908,5.25223,0.0238838,0.232161,221.212,16.8399,0.0761255,0.143584,224.247,1.17821,0.940252
64000,46,224.247,4.86716,0.0217045,0.241909,225.409,17.2652,0.076595,0.136848,228.415,1.25398,0.947956
64000,47,228.415,5.1307,0.0224622,0.260265,229.82,17.8658,0.077738,0.141637,233.019,1.07966,0.954765
64000,48,233.019,6.15724,0.0264238,0.217189,234.404,18.9727,0.0809402,0.147153,237.932,1.38946,0.960991
64000,49,237.932,5.85222,0.0245962,0.22431,239.253,20.6769,0.0864226,0.161464,243.453,1.32146,0.973039
64000,50,243.453,7.08256,0.0290921,0.145774,244.586,22.1735,0.090657,0.154469,248.98,1.25292,0.977919
64000,51,248.98,4.89726,0.0196692,0.145488,249.766,23.7695,0.0951671,0.161129,254.676,1.40925,0.985397
64000,52,254.676,6.48897,0.0254794,0.225055,256.205,24.9502,0.0973836,0.165184,261.481,1.3558,0.988918
64000,53,261.481,6.92728,0.0264925,0.15584,262.641,29.5079,0.112351,0.182644,269.594,1.53895,0.994981
64000,54,269.594,6.52668,0.0242093,0.14193,270.575,32.9878,0.121917,0.160307,277.779,1.40443,1.00296
64000,55,277.779,9.69036,0.0348851,0.195124,279.823,35.4247,0.126597,0.176425,288.192,1.47865,1.0008
64000,56,288.192,11.3133,0.039256,0.207415,290.733,40.8246,0.14042,0.202687,301.665,1.52818,1.00395
64000,57,301.665,8.55543,0.0283607,0.200166,303.46,47.0735,0.155122,0.227054,317.477,1.42286,1.01697
64000,58,317.477,9.95461,0.0313554,0.232123,319.911,52.2867,0.163441,0.257717,337.188,1.48026,1.02027
64000,59,337.188,6.46417,0.0191708,0.208844,338.545,63.9738,0.188967,0.296818,362.711,1.32298,1.01538
64000,60,362.711,5.49029,0.0151368,0.230682,363.98,62.4167,0.171484,0.337191,389.492,1.17615,1.03117
64000,61,389.492,6.28083,0.0161257,0.126179,390.353,76.0012,0.194699,0.339958,422.277,1.1343,1.0579
64000,62,422.277,5.37343,0.0127249,0.146007,423.13,142.364,0.336454,0.266596,481.059,1.03318,1.09671
64000,63,481.059,4.08476,0.00849118,0.12901,481.484,174.021,0.361426,0.440522,579.578,0.978517,1.19006
8000,0,0.0209844,1.78823,85.2171,0.0554603,1.78944,2.57694,1.44008,0.0541519,3.21599,0.94643,0.914528
8000,1,3.21599,0.914903,0.284485,-0.00409593,3.33985,1.34705,0.403326,0.341763,4.00548,0.938656,0.907312
8000,2,4.00548,1.01206,0.25267,0.025827,4.15666,1.52015,0.365715,0.111296,4.58161,0.985406,0.914166
8000,3,4.58161,1.37759,0.300678,0.0146981,4.80353,1.83106,0.381191,0.0784455,5.27338,1.01222,0.887662
8000,4,5.27338,1.34743,0.255514,0.0306956,5.48267,2.01211,0.366995,0.0913165,6.01015,1.00346,0.892632
8000,5,6.01015,1.89533,0.315356,0.0775352,6.44055,2.25832,0.350641,0.11148,7.05856,1.03194,0.866935
8000,6,7.05856,2.25983,0.320154,0.0581741,7.53564,2.12915,0.282544,0.106572,8.04615,1.05163,0.854052
8000,7,8.04615,2.02169,0.251262,0.0791151,8.44995,2.36545,0.279937,0.0925647,8.98316,1.06292,0.865881
8000,8,8.98316,1.71782,0.191227,0.114092,9.33652,2.37432,0.254305,0.145063,9.96192,1.01965,0.875093
8000,9,9.96192,0.747007,0.0749862,0.0368574,10.0173,2.33146,0.232743,0.149935,10.62,0.969042,0.888955
