iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
75126,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,5.99133e-08,2.82588e-07,0.0438671,5.24035e-08,1.30081e-07,5.25193e-07,1,0.999985,0.153453,0.161375,0.541834,4.70306
75126,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.22966e-08,1.10896e-07,0.0437315,1.35155e-08,6.57547e-08,2.32397e-07,1,0.999996,0.85477,0.141544,0.509939,4.25389
48000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,4.85213e-08,2.41369e-07,0.0393581,3.70017e-08,8.90408e-08,5.20694e-07,1,0.99999,0.616876,0.155807,0.486564,5.05412
48000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,1.32254e-07,5.90083e-07,0.0348795,1.2022e-08,7.28003e-08,9.84298e-07,1,0.999866,0.643354,0.161302,0.452166,5.95047
48000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.70194e-08,1.0369e-07,0.0394706,9.24823e-09,4.92571e-08,1.98494e-07,1,0.999995,0.936985,0.125038,0.470991,4.16903
48000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.02702e-08,4.70154e-08,0.039591,2.3053e-09,4.14833e-08,7.10261e-08,1,0.999999,0.996968,0.123404,0.452951,4.06153
48000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.5067e-08,2.05037e-07,0.0392189,1.75098e-08,5.93038e-08,3.04409e-07,1,0.99999,0.880424,0.131495,0.462602,4.33456
48000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.67135e-08,2.90351e-07,0.0394022,2.66312e-08,7.1858e-08,4.66828e-07,1,0.99998,0.771988,0.144511,0.473934,4.7205
48000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.36519e-08,2.55771e-07,0.039456,2.44884e-08,7.15603e-08,4.32795e-07,1,0.999986,0.774765,0.144472,0.474481,4.70774
48000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.69024e-08,9.99113e-08,0.0392907,7.68657e-09,4.8459e-08,1.94956e-07,1,0.999995,0.938276,0.125636,0.471606,4.21214
52000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.68557e-08,1.85986e-07,0.0401238,3.59181e-08,7.32568e-08,2.80401e-07,1,0.999992,0.827523,0.132907,0.474444,4.22555
52000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,3.87747e-08,2.69597e-07,0.0354339,8.57116e-09,3.5712e-08,2.57502e-07,1,0.999976,0.905636,0.110033,0.426619,3.99563
52000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.77132e-08,1.2162e-07,0.0402377,9.19317e-09,4.95419e-08,2.11042e-07,1,0.999993,0.931148,0.122736,0.469434,4.01307
52000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,9.88637e-09,4.8448e-08,0.0402799,2.38411e-09,4.09578e-08,8.77412e-08,1,0.999999,0.993189,0.118685,0.445402,3.83768
52000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.35835e-08,2.23913e-07,0.0399669,1.8202e-08,5.66317e-08,2.78197e-07,1,0.99999,0.899805,0.12795,0.45962,4.13531
52000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.90732e-08,2.66351e-07,0.0401608,2.5143e-08,6.29877e-08,3.26957e-07,1,0.999984,0.871222,0.130354,0.465944,4.17357
52000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.70255e-08,2.32828e-07,0.0402081,2.39811e-08,6.29086e-08,2.6457e-07,1,0.999988,0.881639,0.130296,0.465962,4.1623
52000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.7523e-08,1.17713e-07,0.0400752,8.18901e-09,4.88087e-08,2.05949e-07,1,0.999994,0.932317,0.123358,0.468392,4.0531
56000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.66491e-08,1.7809e-07,0.040783,3.43742e-08,7.16438e-08,2.72436e-07,1,0.999992,0.838421,0.130311,0.466481,4.07337
56000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,2.63631e-08,2.77664e-07,0.0358874,9.30676e-09,3.79948e-08,2.87984e-07,1,0.99997,0.896544,0.10154,0.40518,3.64189
56000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.59734e-08,1.02889e-07,0.0409246,8.53335e-09,4.71555e-08,1.93828e-07,1,0.999995,0.944374,0.121619,0.467268,3.91021
56000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,9.57881e-09,4.4186e-08,0.0408852,2.47851e-09,3.9384e-08,6.00852e-08,1,0.999999,0.997896,0.12028,0.445569,3.83087
56000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.22879e-08,2.25672e-07,0.0406163,1.81764e-08,5.54942e-08,2.70254e-07,1,0.99999,0.903121,0.126215,0.454373,4.01126
56000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.94374e-08,2.40225e-07,0.0408178,2.47812e-08,6.14461e-08,3.16102e-07,1,0.999985,0.879232,0.128193,0.461034,4.035
56000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.73513e-08,2.09437e-07,0.0408575,2.33949e-08,6.13505e-08,2.55145e-07,1,0.999988,0.891896,0.128384,0.460013,4.03261
56000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.59606e-08,1.01849e-07,0.0407824,7.33246e-09,4.64851e-08,1.9114e-07,1,0.999995,0.945897,0.122786,0.466978,3.96428
60000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.95751e-08,1.93243e-07,0.0413931,3.60585e-08,7.48334e-08,2.99028e-07,1,0.999993,0.801682,0.12996,0.466456,4.00006
60000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,1.41216e-07,4.86981e-07,0.0363256,8.99436e-09,5.47052e-08,7.17454e-07,1,0.999938,0.756924,0.102251,0.418389,3.62212
60000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.61053e-08,1.07104e-07,0.0415202,8.90622e-09,4.78235e-08,1.99687e-07,1,0.999995,0.944396,0.121579,0.468025,3.85389
60000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,9.67783e-09,4.52181e-08,0.0414171,2.57738e-09,3.9888e-08,6.7966e-08,1,0.999999,0.997168,0.120264,0.445206,3.78065
60000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.34827e-08,1.84402e-07,0.041194,1.88016e-08,5.62807e-08,2.69539e-07,1,0.999991,0.901826,0.127415,0.45801,3.99048
60000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.24658e-08,2.30976e-07,0.0414036,2.58741e-08,6.39134e-08,3.32594e-07,1,0.999985,0.861816,0.129157,0.463204,4.00516
60000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.05619e-08,2.03927e-07,0.0414333,2.4057e-08,6.37919e-08,2.74161e-07,1,0.999988,0.870298,0.129018,0.462561,3.9936
60000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.62206e-08,1.03549e-07,0.0414021,7.72595e-09,4.72077e-08,1.96437e-07,1,0.999995,0.944853,0.123126,0.468448,3.91635
