iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
16000,2,135020032,9.79352e-08,2.14156e-06,0.028166,2.47776e-08,1.3235e-07,1.03904e-06,1,0.999735,0.25249,0.128266,0.468393,6.1251
16000,3,132398336,8.2895e-08,1.16001e-06,0.0257747,3.883e-08,1.45796e-07,2.6332e-06,1,0.998432,0.357208,0.114673,0.435625,5.97319
16000,4,335544320,2.19333e-08,3.6091e-07,0.0235138,3.88714e-14,1.2889e-08,7.53279e-08,1,0.999887,0.993638,0.0645201,0.339343,3.4666
24000,0,701271808,1.66207e-06,1.05462e-05,0.0231878,2.08327e-09,6.95398e-08,3.83049e-06,1,0.99753,0.596272,0.0728106,0.414561,4.81256
24000,1,187443456,5.13377e-08,3.88504e-07,0.0328158,4.14628e-08,9.15922e-08,3.18583e-07,1,0.999979,0.647816,0.132912,0.475378,5.2057
24000,2,135020032,6.99537e-08,5.44881e-07,0.0329517,1.55433e-08,8.06444e-08,4.28897e-07,1,0.999931,0.636379,0.127765,0.468001,5.1045
24000,3,132398336,4.42678e-08,2.97445e-07,0.02935,1.83693e-08,6.08193e-08,9.06089e-07,1,0.999911,0.691246,0.11504,0.435915,5.11223
24000,4,335544320,1.87996e-08,8.95458e-08,0.0244757,6.56706e-14,9.99294e-09,5.07513e-08,1,0.99998,0.99669,0.0583735,0.317571,3.03426
34454,0,701271808,1.52098e-06,1.34558e-05,0.0252412,2.0168e-09,6.58552e-08,3.65745e-06,1,0.997688,0.614183,0.0729524,0.411644,4.4505
34454,1,187443456,3.55815e-08,2.51974e-07,0.0371942,3.70658e-08,8.0503e-08,3.02872e-07,1,0.999986,0.797601,0.12707,0.461634,4.36518
34454,2,135020032,4.76961e-08,3.3709e-07,0.0367352,1.47571e-08,7.06579e-08,3.91841e-07,1,0.999982,0.704148,0.120665,0.453395,4.27847
34454,3,132398336,4.09233e-08,2.71848e-07,0.032426,1.35127e-08,4.8402e-08,6.3646e-07,1,0.999947,0.803752,0.106088,0.415904,4.21618
34454,4,335544320,1.33075e-08,6.16446e-08,0.0248846,5.69122e-14,8.55595e-09,4.34071e-08,1,0.999994,0.997252,0.0520322,0.296869,2.68103
44000,0,701271808,1.83894e-06,1.52935e-05,0.0266785,1.98121e-09,6.31633e-08,3.62095e-06,1,0.997814,0.629664,0.0731658,0.420697,4.26992
44000,1,187443456,3.21162e-08,2.14467e-07,0.0398033,3.91736e-08,7.82784e-08,3.01525e-07,1,0.99999,0.833494,0.131616,0.473295,4.21364
44000,2,135020032,4.21582e-08,2.71936e-07,0.0389794,1.48955e-08,6.6409e-08,3.34324e-07,1,0.999951,0.748329,0.125462,0.462663,4.17114
44000,3,132398336,3.59351e-08,2.24095e-07,0.0343994,1.20598e-08,4.34243e-08,4.67767e-07,1,0.999968,0.841957,0.107701,0.419481,4.02393
44000,4,335544320,7.59228e-09,4.84215e-08,0.0250332,8.26088e-14,8.4621e-09,4.392e-08,1,0.999999,0.997407,0.0532005,0.302405,2.74202
56000,0,701271808,1.47856e-06,9.39622e-06,0.0276781,1.84779e-09,5.82744e-08,3.50658e-06,1,0.997854,0.647909,0.0712855,0.415541,4.03983
56000,1,187443456,2.60116e-08,1.93719e-07,0.0419815,3.55848e-08,7.24248e-08,2.74174e-07,1,0.999989,0.886304,0.130557,0.46814,3.95547
56000,2,135020032,3.73817e-08,2.46862e-07,0.0408221,1.40308e-08,6.20421e-08,2.80397e-07,1,0.999948,0.798103,0.125409,0.460341,3.96629
56000,3,132398336,2.68197e-08,2.83231e-07,0.0361726,1.14004e-08,3.86688e-08,4.00094e-07,1,0.999965,0.887106,0.103725,0.409064,3.6849
56000,4,335544320,5.5965e-09,3.39011e-08,0.0249577,3.97078e-14,8.08948e-09,4.12127e-08,1,1,0.997531,0.0517975,0.295829,2.69497
