from,to,norm_dW,rel_dW,cos_with_prev,n_params
0044000,0048000,2080.938868,0.30244400,,33892683776
0048000,0052000,2080.565696,0.29613587,-0.086190,33892683776
0052000,0056000,2073.814143,0.28995383,-0.088574,33892683776
0056000,0060000,2082.629716,0.28670559,-0.090615,33892683776
0060000,0064000,2098.531109,0.28502897,-0.093779,33892683776
0064000,0068000,2169.786728,0.29115731,-0.094695,33892683776
0068000,0072000,2282.838410,0.30245281,-0.106997,33892683776
