layer,shard,amax_act,amax_wgt,amax_act_last,scale_act,scale_fwd_med,iter
mlp.linear_fc2,10,800,0.992188,364,0.56,1,20000
self_attention.linear_proj,11,28.125,0.546875,17.875,15.9289,15.9289,20000
self_attention.linear_qkv,11,39.7776,0.212891,39.6387,11.2626,11.2626,20000
mlp.linear_fc1,11,11.7866,0.237305,9.98023,38.0091,38.0091,20000
mlp.linear_fc2,11,1512,0.96875,836,0.296296,1,20000
self_attention.linear_proj,12,30.625,0.412109,14.0625,14.6286,14.6286,20000
self_attention.linear_qkv,12,42.6269,0.191406,42.5195,10.5098,10.5098,20000
mlp.linear_fc1,12,13.1579,0.226562,10.0579,34.0481,34.0481,20000
mlp.linear_fc2,12,1400,0.953125,636,0.32,1,20000
self_attention.linear_proj,25,53,0.234375,13.5,8.45283,8.45283,20000
self_attention.linear_qkv,25,43.5164,0.222656,43.3326,10.295,10.295,20000
mlp.linear_fc1,25,12.9199,0.206055,12.3561,34.6752,34.6752,20000
mlp.linear_fc2,25,1400,0.785156,548,0.32,1,20000
self_attention.linear_proj,26,48.25,0.318359,25,9.28497,9.28497,20000
self_attention.linear_qkv,26,42.6049,0.251953,40.336,10.5152,10.5152,20000
mlp.linear_fc1,26,14.9018,0.220703,14.1178,30.0635,30.0635,20000
mlp.linear_fc2,26,976,0.742188,520,0.459016,1,20000
self_attention.linear_proj,27,56.25,0.302734,46.25,7.96444,7.96444,20000
self_attention.linear_qkv,27,54.5228,0.230469,53.5088,8.21674,8.21674,20000
mlp.linear_fc1,27,13.4943,0.236328,12.8889,33.1991,33.1991,20000
mlp.linear_fc2,27,1328,0.65625,824,0.337349,1,20000
self_attention.linear_proj,28,55.25,0.287109,41.25,8.1086,8.1086,20000
self_attention.linear_qkv,28,49.6102,0.219727,49.2311,9.03039,9.03039,20000
mlp.linear_fc1,28,13.9784,0.225586,13.1946,32.0494,32.0494,20000
mlp.linear_fc2,28,1728,0.765625,700,0.259259,1,20000
self_attention.linear_proj,41,21.875,0.208008,15.3125,20.48,20.48,20000
self_attention.linear_qkv,41,35.2005,0.179688,35.0437,12.7271,12.7271,20000
mlp.linear_fc1,41,29.2766,0.304688,26.7452,15.3023,15.3023,20000
mlp.linear_fc2,41,1648,0.332031,1136,0.271845,1,20000
self_attention.linear_proj,42,19.75,0.176758,15,22.6835,22.6835,20000
self_attention.linear_qkv,42,37.7981,0.146484,37.5182,11.8525,11.8525,20000
mlp.linear_fc1,42,31.3773,0.212891,28.2684,14.2778,14.2778,20000
mlp.linear_fc2,42,1480,0.566406,1120,0.302703,1,20000
self_attention.linear_proj,43,28.125,0.192383,13.75,15.9289,15.9289,20000
self_attention.linear_qkv,43,40.8569,0.167969,40.8209,10.9651,10.9651,20000
mlp.linear_fc1,43,32.4186,0.253906,28.9368,13.8192,13.8192,20000
mlp.linear_fc2,43,1752,0.636719,788,0.255708,1,20000
self_attention.linear_proj,44,21.625,0.15625,17.625,20.7168,20.7168,20000
self_attention.linear_qkv,44,41.0999,0.166016,40.8058,10.9003,10.9003,20000
mlp.linear_fc1,44,33.5371,0.216797,29.8204,13.3583,13.3583,20000
mlp.linear_fc2,44,1656,0.59375,1112,0.270531,1,20000
self_attention.linear_proj,57,48.25,0.357422,45.25,9.28497,9.28497,20000
self_attention.linear_qkv,57,49.5355,0.195312,49.4555,9.04403,9.04403,20000
mlp.linear_fc1,57,43.6488,0.376953,41.8744,10.2637,10.2637,20000
mlp.linear_fc2,57,3408,0.535156,1704,0.131455,1,20000
self_attention.linear_proj,58,55.25,0.4375,25.625,8.1086,8.1086,20000
self_attention.linear_qkv,58,54.6254,0.228516,54.5323,8.20131,8.20131,20000
mlp.linear_fc1,58,46.5768,0.753906,44.4624,9.61853,9.61853,20000
mlp.linear_fc2,58,9472,0.660156,1640,0.0472973,1,20000
self_attention.linear_proj,59,64,0.417969,30.125,7,7,20000
self_attention.linear_qkv,59,53.2161,0.191406,52.1487,8.41851,8.41851,20000
mlp.linear_fc1,59,53.5363,0.429688,50.1551,8.36816,8.36816,20000
mlp.linear_fc2,59,3664,0.695312,2024,0.122271,1,20000
self_attention.linear_proj,60,77,0.429688,16.75,5.81818,5.81818,20000
self_attention.linear_qkv,60,53.9664,0.204102,52.5363,8.30146,8.30146,20000
mlp.linear_fc1,60,57.8558,0.390625,54.7943,7.74339,7.74339,20000
mlp.linear_fc2,60,17408,0.585938,2784,0.0257353,1,20000
self_attention.linear_proj,13,56.75,0.347656,13,7.89427,7.89427,20000
self_attention.linear_qkv,13,39.1571,0.209961,39.0402,11.4411,11.4411,20000
mlp.linear_fc1,13,12.6847,0.216797,9.59263,35.3182,35.3182,20000
mlp.linear_fc2,13,1536,0.832031,201,0.291667,1,20000
self_attention.linear_proj,14,17.125,0.507812,10.9375,26.1606,26.1606,20000
self_attention.linear_qkv,14,41.3558,0.202148,41.2323,10.8328,10.8328,20000
mlp.linear_fc1,14,14.6373,0.193359,9.52128,30.6066,30.6066,20000
mlp.linear_fc2,14,560,0.730469,326,0.8,1,20000
self_attention.linear_proj,15,27.375,0.527344,12.25,16.3653,16.3653,20000
self_attention.linear_qkv,15,44.9178,0.209961,44.7747,9.97377,9.97377,20000
mlp.linear_fc1,15,14.0267,0.207031,10.77,31.9391,31.9391,20000
mlp.linear_fc2,15,556,0.746094,241,0.805755,1,20000
self_attention.linear_proj,16,23,0.792969,9.6875,19.4783,19.4783,20000
self_attention.linear_qkv,16,47.3878,0.19043,47.2307,9.4539,9.4539,20000
mlp.linear_fc1,16,13.6397,0.203125,12.1724,32.8453,32.8453,20000
mlp.linear_fc2,16,932,0.644531,368,0.480687,1,20000
self_attention.linear_proj,29,61.25,0.294922,44.75,7.31429,7.31429,20000
self_attention.linear_qkv,29,46.452,0.220703,46.2556,9.64437,9.64437,20000
mlp.linear_fc1,29,14.6853,0.21875,12.9705,30.5066,30.5066,20000
mlp.linear_fc2,29,1448,0.722656,896,0.309392,1,20000
self_attention.linear_proj,30,55.5,0.328125,40.75,8.07207,8.07207,20000
self_attention.linear_qkv,30,53.5331,0.232422,53.3651,8.36866,8.36866,20000
mlp.linear_fc1,30,17.1452,0.208984,17.0004,26.1297,26.1297,20000
mlp.linear_fc2,30,1576,0.691406,772,0.284264,1,20000
self_attention.linear_proj,31,42.25,0.339844,31.25,10.6035,10.6035,20000
self_attention.linear_qkv,31,48.2404,0.197266,48.0638,9.28682,9.28682,20000
mlp.linear_fc1,31,16.3021,0.196289,15.8721,27.4811,27.4811,20000
mlp.linear_fc2,31,1776,0.816406,988,0.252252,1,20000
self_attention.linear_proj,32,48.75,0.335938,26.5,9.18974,9.18974,20000
self_attention.linear_qkv,32,47.5376,0.196289,47.3324,9.42413,9.42413,20000
mlp.linear_fc1,32,17.6877,0.197266,17.2029,25.3284,25.3284,20000
mlp.linear_fc2,32,2144,0.703125,732,0.208955,1,20000
self_attention.linear_proj,45,40.75,0.168945,18,10.9939,10.9939,20000
self_attention.linear_qkv,45,41.6457,0.188477,41.3468,10.7574,10.7574,20000
mlp.linear_fc1,45,34.5567,0.255859,30.6387,12.9642,12.9642,20000
mlp.linear_fc2,45,3104,0.384766,2688,0.14433,1,20000
self_attention.linear_proj,46,46.5,0.21875,46.25,9.63441,9.63441,20000
self_attention.linear_qkv,46,42.7425,0.199219,42.707,10.4814,10.4814,20000
mlp.linear_fc1,46,34.6303,0.209961,30.5695,12.9367,12.9367,20000
mlp.linear_fc2,46,2368,0.515625,1016,0.189189,1,20000
self_attention.linear_proj,47,48.5,0.200195,39,9.23711,9.23711,20000
self_attention.linear_qkv,47,43.0035,0.170898,42.9584,10.4178,10.4178,20000
mlp.linear_fc1,47,36.1983,0.324219,32.3347,12.3763,12.3763,20000
mlp.linear_fc2,47,2064,0.617188,856,0.217054,1,20000
self_attention.linear_proj,48,54.5,0.255859,31.375,8.22018,8.22018,20000
self_attention.linear_qkv,48,44.3556,0.194336,44.3004,10.1002,10.1002,20000
mlp.linear_fc1,48,36.722,0.195312,32.5971,12.1998,12.1998,20000
mlp.linear_fc2,48,2080,0.419922,836,0.215385,1,20000
self_attention.linear_proj,61,58,0.414062,39.75,7.72414,7.72414,20000
self_attention.linear_qkv,61,58.0716,0.204102,56.8403,7.71462,7.71462,20000
mlp.linear_fc1,61,63.147,0.357422,61.1146,7.09456,7.09456,20000
mlp.linear_fc2,61,9984,0.792969,2064,0.0448718,1,20000
self_attention.linear_proj,62,69.5,0.365234,18.25,6.44604,6.44604,20000
self_attention.linear_qkv,62,60.8439,0.206055,58.4252,7.3631,7.3631,20000
mlp.linear_fc1,62,65.8,0.279297,62.8669,6.80851,6.80851,20000
mlp.linear_fc2,62,5088,0.804688,1608,0.0880503,1,20000
self_attention.linear_proj,63,16.875,0.414062,13,26.5481,26.5481,20000
self_attention.linear_qkv,63,64.3409,0.171875,61.352,6.96291,6.96291,20000
mlp.linear_fc1,63,68.1491,0.275391,65.6644,6.57382,6.57382,20000
mlp.linear_fc2,63,6528,0.785156,2544,0.0686275,1,20000
self_attention.linear_proj,0,21.375,0.703125,0,20.9591,20.9591,24000
self_attention.linear_qkv,0,20.4251,0.225586,0,21.9338,21.9338,24000
mlp.linear_fc1,0,7.01871,0.300781,0,63.8294,63.8294,24000
mlp.linear_fc2,0,1288,1.375,0,0.347826,1,24000
self_attention.linear_proj,1,12.125,1.21094,0,36.9485,36.9485,24000
self_attention.linear_qkv,1,24.3505,0.246094,0,18.398,18.398,24000
mlp.linear_fc1,1,10.7351,0.375,0,41.7323,41.7323,24000
mlp.linear_fc2,1,7392,1.5,0,0.0606061,1,24000
self_attention.linear_proj,2,11.6875,1.24219,0,38.3316,38.3316,24000
self_attention.linear_qkv,2,15.7154,0.289062,0,28.5071,28.5071,24000
mlp.linear_fc1,2,9.59256,0.353516,0,46.7029,46.7029,24000
mlp.linear_fc2,2,752,1.04688,0,0.595745,1,24000
self_attention.linear_proj,3,15.125,1.35938,0,29.6198,29.6198,24000
self_attention.linear_qkv,3,30.4429,0.304688,0,14.7161,14.7161,24000
mlp.linear_fc1,3,7.86298,0.371094,0,56.9758,56.9758,24000
mlp.linear_fc2,3,2064,0.828125,0,0.217054,1,24000
self_attention.linear_proj,4,15.25,1.78906,0,29.377,29.377,24000
self_attention.linear_qkv,4,23.8696,0.300781,0,18.7686,18.7686,24000
mlp.linear_fc1,4,7.94643,0.353516,0,56.3775,56.3775,24000
mlp.linear_fc2,4,1368,0.953125,0,0.327485,1,24000
self_attention.linear_proj,17,43,0.484375,0,10.4186,10.4186,24000
self_attention.linear_qkv,17,52.6463,0.248047,0,8.50961,8.50961,24000
mlp.linear_fc1,17,12.8824,0.246094,0,34.7761,34.7761,24000
mlp.linear_fc2,17,584,0.804688,0,0.767123,1,24000
self_attention.linear_proj,18,29.375,0.507812,0,15.2511,15.2511,24000
self_attention.linear_qkv,18,46.5937,0.259766,0,9.61503,9.61503,24000
mlp.linear_fc1,18,11.7783,0.277344,0,38.0359,38.0359,24000
mlp.linear_fc2,18,812,0.75,0,0.551724,1,24000
self_attention.linear_proj,19,42.75,0.464844,0,10.4795,10.4795,24000
self_attention.linear_qkv,19,49.8528,0.279297,0,8.98646,8.98646,24000
mlp.linear_fc1,19,12.7672,0.275391,0,35.09,35.09,24000
mlp.linear_fc2,19,1440,0.691406,0,0.311111,1,24000
self_attention.linear_proj,20,40.25,0.431641,0,11.1304,11.1304,24000
self_attention.linear_qkv,20,44.3356,0.261719,0,10.1048,10.1048,24000
mlp.linear_fc1,20,13.2456,0.259766,0,33.8226,33.8226,24000
mlp.linear_fc2,20,708,0.765625,0,0.632768,1,24000
self_attention.linear_proj,33,54.5,0.314453,0,8.22018,8.22018,24000
self_attention.linear_qkv,33,37.4813,0.228516,0,11.9526,11.9526,24000
mlp.linear_fc1,33,19.2123,0.285156,0,23.3184,23.3184,24000
mlp.linear_fc2,33,1568,0.867188,0,0.285714,1,24000
self_attention.linear_proj,34,66.5,0.328125,0,6.73684,6.73684,24000
self_attention.linear_qkv,34,41.5009,0.248047,0,10.7949,10.7949,24000
mlp.linear_fc1,34,22.0025,0.253906,0,20.3613,20.3613,24000
mlp.linear_fc2,34,1600,0.703125,0,0.28,1,24000
self_attention.linear_proj,35,49.5,0.367188,0,9.0505,9.0505,24000
self_attention.linear_qkv,35,43.8064,0.211914,0,10.2268,10.2268,24000
mlp.linear_fc1,35,24.5249,0.219727,0,18.2672,18.2672,24000
mlp.linear_fc2,35,2048,0.808594,0,0.21875,1,24000
self_attention.linear_proj,36,41.5,0.294922,0,10.7952,10.7952,24000
self_attention.linear_qkv,36,36.3786,0.201172,0,12.3149,12.3149,24000
mlp.linear_fc1,36,26.7931,0.330078,0,16.7207,16.7207,24000
mlp.linear_fc2,36,1528,0.824219,0,0.293194,1,24000
self_attention.linear_proj,49,54.25,0.3125,0,8.25806,8.25806,24000
self_attention.linear_qkv,49,44.164,0.228516,0,10.144,10.144,24000
mlp.linear_fc1,49,39.9005,0.217773,0,11.2279,11.2279,24000
mlp.linear_fc2,49,2656,0.431641,0,0.168675,1,24000
self_attention.linear_proj,50,36,0.337891,0,12.4444,12.4444,24000
self_attention.linear_qkv,50,45.2641,0.191406,0,9.89746,9.89746,24000
mlp.linear_fc1,50,41.6303,0.363281,0,10.7614,10.7614,24000
mlp.linear_fc2,50,5024,0.466797,0,0.089172,1,24000
self_attention.linear_proj,51,40,0.257812,0,11.2,11.2,24000
self_attention.linear_qkv,51,42.4778,0.213867,0,10.5467,10.5467,24000
mlp.linear_fc1,51,44.061,0.25,0,10.1677,10.1677,24000
mlp.linear_fc2,51,3584,0.435547,0,0.125,1,24000
self_attention.linear_proj,52,54,0.357422,0,8.2963,8.2963,24000
self_attention.linear_qkv,52,45.801,0.200195,0,9.78145,9.78145,24000
mlp.linear_fc1,52,45.1864,0.265625,0,9.91448,9.91448,24000
mlp.linear_fc2,52,4672,0.419922,0,0.0958904,1,24000
self_attention.linear_proj,5,38.75,1.36719,0,11.5613,11.5613,24000
self_attention.linear_qkv,5,28.8295,0.265625,0,15.5397,15.5397,24000
mlp.linear_fc1,5,14.0257,0.357422,0,31.9413,31.9413,24000
mlp.linear_fc2,5,9216,1.46875,0,0.0486111,1,24000
self_attention.linear_proj,6,45.25,0.474609,0,9.90055,9.90055,24000
self_attention.linear_qkv,6,41.2695,0.310547,0,10.8555,10.8555,24000
mlp.linear_fc1,6,8.25869,0.472656,0,54.2459,54.2459,24000
mlp.linear_fc2,6,504,0.894531,0,0.888889,1,24000
self_attention.linear_proj,7,42.25,0.613281,0,10.6035,10.6035,24000
self_attention.linear_qkv,7,49.8396,0.298828,0,8.98884,8.98884,24000
mlp.linear_fc1,7,8.03568,0.255859,0,55.7514,55.7514,24000
mlp.linear_fc2,7,470,1.16406,0,0.953192,1,24000
self_attention.linear_proj,8,32.75,0.421875,0,13.6794,13.6794,24000
self_attention.linear_qkv,8,34.8472,0.3125,0,12.8561,12.8561,24000
mlp.linear_fc1,8,7.81945,0.251953,0,57.293,57.293,24000
mlp.linear_fc2,8,636,1.375,0,0.704403,1,24000
self_attention.linear_proj,21,37.75,0.566406,0,11.8675,11.8675,24000
self_attention.linear_qkv,21,47.8627,0.238281,0,9.3601,9.3601,24000
mlp.linear_fc1,21,14.2296,0.335938,0,31.4837,31.4837,24000
mlp.linear_fc2,21,1144,0.921875,0,0.391608,1,24000
self_attention.linear_proj,22,71,0.398438,0,6.30986,6.30986,24000
self_attention.linear_qkv,22,57.3324,0.248047,0,7.81408,7.81408,24000
mlp.linear_fc1,22,12.5647,0.267578,0,35.6554,35.6554,24000
mlp.linear_fc2,22,764,0.789062,0,0.586387,1,24000
self_attention.linear_proj,23,61.5,0.496094,0,7.28455,7.28455,24000
self_attention.linear_qkv,23,51.4742,0.314453,0,8.70338,8.70338,24000
mlp.linear_fc1,23,13.1031,0.245117,0,34.1904,34.1904,24000
mlp.linear_fc2,23,1392,0.945312,0,0.321839,1,24000
self_attention.linear_proj,24,45.25,0.300781,0,9.90055,9.90055,24000
self_attention.linear_qkv,24,49.6927,0.304688,0,9.01542,9.01542,24000
mlp.linear_fc1,24,12.1951,0.275391,0,36.736,36.736,24000
mlp.linear_fc2,24,1136,0.835938,0,0.394366,1,24000
self_attention.linear_proj,37,21.125,0.3125,0,21.2071,21.2071,24000
self_attention.linear_qkv,37,34.4562,0.174805,0,13.002,13.002,24000
mlp.linear_fc1,37,26.8736,0.277344,0,16.6706,16.6706,24000
mlp.linear_fc2,37,1360,0.660156,0,0.329412,1,24000
self_attention.linear_proj,38,36.5,0.380859,0,12.274,12.274,24000
self_attention.linear_qkv,38,44.4759,0.216797,0,10.0729,10.0729,24000
mlp.linear_fc1,38,26.1918,0.28125,0,17.1046,17.1046,24000
mlp.linear_fc2,38,1856,0.746094,0,0.241379,1,24000
self_attention.linear_proj,39,28.75,0.285156,0,15.5826,15.5826,24000
self_attention.linear_qkv,39,35.5846,0.169922,0,12.5897,12.5897,24000
mlp.linear_fc1,39,26.8363,0.296875,0,16.6938,16.6938,24000
mlp.linear_fc2,39,1760,0.535156,0,0.254545,1,24000
self_attention.linear_proj,40,39,0.318359,0,11.4872,11.4872,24000
self_attention.linear_qkv,40,32.5262,0.195312,0,13.7735,13.7735,24000
mlp.linear_fc1,40,25.6891,0.308594,0,17.4393,17.4393,24000
mlp.linear_fc2,40,1632,0.65625,0,0.27451,1,24000
self_attention.linear_proj,53,50.25,0.239258,0,8.91542,8.91542,24000
self_attention.linear_qkv,53,43.8454,0.231445,0,10.2177,10.2177,24000
mlp.linear_fc1,53,46.7723,0.427734,0,9.57832,9.57832,24000
mlp.linear_fc2,53,3072,0.425781,0,0.145833,1,24000
self_attention.linear_proj,54,53.75,0.423828,0,8.33488,8.33488,24000
self_attention.linear_qkv,54,49.3817,0.219727,0,9.07219,9.07219,24000
mlp.linear_fc1,54,47.0129,0.355469,0,9.52929,9.52929,24000
mlp.linear_fc2,54,3088,0.507812,0,0.145078,1,24000
self_attention.linear_proj,55,76.5,0.455078,0,5.85621,5.85621,24000
self_attention.linear_qkv,55,53.2471,0.240234,0,8.4136,8.4136,24000
mlp.linear_fc1,55,47.6857,0.4375,0,9.39485,9.39485,24000
mlp.linear_fc2,55,4128,0.486328,0,0.108527,1,24000
self_attention.linear_proj,56,43,0.470703,0,10.4186,10.4186,24000
self_attention.linear_qkv,56,51.5483,0.217773,0,8.69088,8.69088,24000
mlp.linear_fc1,56,50.8055,0.476562,0,8.81793,8.81793,24000
mlp.linear_fc2,56,5696,0.5,0,0.0786517,1,24000
self_attention.linear_proj,9,27,1,0,16.5926,16.5926,24000
self_attention.linear_qkv,9,34.6801,0.244141,0,12.9181,12.9181,24000
mlp.linear_fc1,9,7.56396,0.28125,0,59.2282,59.2282,24000
mlp.linear_fc2,9,588,1.36719,0,0.761905,1,24000
self_attention.linear_proj,10,26.25,0.53125,0,17.0667,17.0667,24000
self_attention.linear_qkv,10,38.6699,0.271484,0,11.5852,11.5852,24000
mlp.linear_fc1,10,7.22489,0.245117,0,62.0078,62.0078,24000
mlp.linear_fc2,10,480,1.25781,0,0.933333,1,24000
self_attention.linear_proj,11,27.625,0.828125,0,16.2172,16.2172,24000
self_attention.linear_qkv,11,36.6249,0.234375,0,12.2321,12.2321,24000
mlp.linear_fc1,11,7.01752,0.245117,0,63.8402,63.8402,24000
mlp.linear_fc2,11,540,1.21875,0,0.82963,1,24000
self_attention.linear_proj,12,33,0.507812,0,13.5758,13.5758,24000
self_attention.linear_qkv,12,38.9022,0.226562,0,11.5161,11.5161,24000
mlp.linear_fc1,12,7.4336,0.25,0,60.2669,60.2669,24000
mlp.linear_fc2,12,652,1.14844,0,0.687117,1,24000
self_attention.linear_proj,25,52.25,0.292969,0,8.57416,8.57416,24000
self_attention.linear_qkv,25,40.8738,0.227539,0,10.9606,10.9606,24000
mlp.linear_fc1,25,13.049,0.217773,0,34.3321,34.3321,24000
mlp.linear_fc2,25,1376,1.03906,0,0.325581,1,24000
self_attention.linear_proj,26,49.5,0.357422,0,9.0505,9.0505,24000
self_attention.linear_qkv,26,40.4461,0.273438,0,11.0765,11.0765,24000
mlp.linear_fc1,26,13.6221,0.237305,0,32.8876,32.8876,24000
mlp.linear_fc2,26,1216,0.957031,0,0.368421,1,24000
self_attention.linear_proj,27,58,0.347656,0,7.72414,7.72414,24000
self_attention.linear_qkv,27,52.8088,0.233398,0,8.48343,8.48343,24000
mlp.linear_fc1,27,14.0153,0.259766,0,31.9651,31.9651,24000
mlp.linear_fc2,27,1552,0.910156,0,0.28866,1,24000
self_attention.linear_proj,28,57.75,0.357422,0,7.75758,7.75758,24000
self_attention.linear_qkv,28,45.616,0.253906,0,9.82112,9.82112,24000
mlp.linear_fc1,28,14.3438,0.261719,0,31.2331,31.2331,24000
mlp.linear_fc2,28,1656,1.0625,0,0.270531,1,24000
self_attention.linear_proj,41,24.875,0.241211,0,18.01,18.01,24000
self_attention.linear_qkv,41,30.5811,0.176758,0,14.6496,14.6496,24000
mlp.linear_fc1,41,27.7233,0.341797,0,16.1597,16.1597,24000
mlp.linear_fc2,41,1672,0.425781,0,0.267943,1,24000
self_attention.linear_proj,42,24.875,0.212891,0,18.01,18.01,24000
self_attention.linear_qkv,42,32.5276,0.165039,0,13.7729,13.7729,24000
mlp.linear_fc1,42,29.2356,0.273438,0,15.3238,15.3238,24000
mlp.linear_fc2,42,2320,0.730469,0,0.193103,1,24000
self_attention.linear_proj,43,33.5,0.231445,0,13.3731,13.3731,24000
self_attention.linear_qkv,43,36.4197,0.166016,0,12.301,12.301,24000
mlp.linear_fc1,43,31.1193,0.369141,0,14.3962,14.3962,24000
mlp.linear_fc2,43,1856,0.867188,0,0.241379,1,24000
self_attention.linear_proj,44,26,0.181641,0,17.2308,17.2308,24000
self_attention.linear_qkv,44,36.4136,0.168945,0,12.3031,12.3031,24000
mlp.linear_fc1,44,32.734,0.245117,0,13.6861,13.6861,24000
mlp.linear_fc2,44,1816,0.757812,0,0.246696,1,24000
self_attention.linear_proj,57,55.75,0.392578,0,8.03587,8.03587,24000
self_attention.linear_qkv,57,47.915,0.212891,0,9.34989,9.34989,24000
mlp.linear_fc1,57,51.4262,0.425781,0,8.71152,8.71152,24000
mlp.linear_fc2,57,5376,0.609375,0,0.0833333,1,24000
self_attention.linear_proj,58,71.5,0.5,0,6.26573,6.26573,24000
self_attention.linear_qkv,58,53.1469,0.243164,0,8.42947,8.42947,24000
mlp.linear_fc1,58,54.2936,0.78125,0,8.25143,8.25143,24000
mlp.linear_fc2,58,9856,0.710938,0,0.0454545,1,24000
self_attention.linear_proj,59,67.5,0.470703,0,6.63704,6.63704,24000
self_attention.linear_qkv,59,52.3806,0.208984,0,8.55278,8.55278,24000
mlp.linear_fc1,59,52.5924,0.488281,0,8.51835,8.51835,24000
mlp.linear_fc2,59,9792,0.773438,0,0.0457516,1,24000
self_attention.linear_proj,60,94.5,0.476562,0,4.74074,4.74074,24000
self_attention.linear_qkv,60,52.7356,0.202148,0,8.49521,8.49521,24000
mlp.linear_fc1,60,55.6063,0.482422,0,8.05663,8.05663,24000
mlp.linear_fc2,60,11712,0.695312,0,0.0382514,1,24000
self_attention.linear_proj,13,64,0.423828,0,7,7,24000
self_attention.linear_qkv,13,35.9328,0.245117,0,12.4677,12.4677,24000
mlp.linear_fc1,13,6.94826,0.242188,0,64.4766,64.4766,24000
mlp.linear_fc2,13,692,1.04688,0,0.647399,1,24000
self_attention.linear_proj,14,19.75,0.882812,0,22.6835,22.6835,24000
self_attention.linear_qkv,14,38.4056,0.267578,0,11.665,11.665,24000
mlp.linear_fc1,14,7.81159,0.21875,0,57.3507,57.3507,24000
mlp.linear_fc2,14,528,0.886719,0,0.848485,1,24000
self_attention.linear_proj,15,25.5,0.621094,0,17.5686,17.5686,24000
self_attention.linear_qkv,15,43.086,0.217773,0,10.3978,10.3978,24000
mlp.linear_fc1,15,9.06876,0.234375,0,49.4003,49.4003,24000
mlp.linear_fc2,15,576,0.964844,0,0.777778,1,24000
self_attention.linear_proj,16,25.375,1.03906,0,17.6552,17.6552,24000
self_attention.linear_qkv,16,46.3754,0.233398,0,9.66029,9.66029,24000
mlp.linear_fc1,16,11.3036,0.232422,0,39.6333,39.6333,24000
mlp.linear_fc2,16,932,0.8125,0,0.480687,1,24000
self_attention.linear_proj,29,67,0.365234,0,6.68657,6.68657,24000
self_attention.linear_qkv,29,43.7621,0.241211,0,10.2372,10.2372,24000
mlp.linear_fc1,29,15.2285,0.238281,0,29.4185,29.4185,24000
mlp.linear_fc2,29,1424,0.964844,0,0.314607,1,24000
self_attention.linear_proj,30,60.75,0.388672,0,7.37449,7.37449,24000
self_attention.linear_qkv,30,51.2864,0.269531,0,8.73525,8.73525,24000
mlp.linear_fc1,30,16.8489,0.231445,0,26.5894,26.5894,24000
mlp.linear_fc2,30,1528,0.960938,0,0.293194,1,24000
self_attention.linear_proj,31,45.75,0.398438,0,9.79235,9.79235,24000
self_attention.linear_qkv,31,45.199,0.217773,0,9.91173,9.91173,24000
mlp.linear_fc1,31,17.5144,0.25,0,25.5789,25.5789,24000
mlp.linear_fc2,31,1856,1.10938,0,0.241379,1,24000
self_attention.linear_proj,32,54.75,0.388672,0,8.18265,8.18265,24000
self_attention.linear_qkv,32,45.1379,0.224609,0,9.92515,9.92515,24000
mlp.linear_fc1,32,18.9123,0.240234,0,23.6883,23.6883,24000
mlp.linear_fc2,32,1744,0.941406,0,0.256881,1,24000
self_attention.linear_proj,45,38.5,0.197266,0,11.6364,11.6364,24000
self_attention.linear_qkv,45,38.0772,0.197266,0,11.7656,11.7656,24000
mlp.linear_fc1,45,34.164,0.255859,0,13.1132,13.1132,24000
mlp.linear_fc2,45,1752,0.460938,0,0.255708,1,24000
self_attention.linear_proj,46,52.5,0.246094,0,8.53333,8.53333,24000
self_attention.linear_qkv,46,38.9082,0.209961,0,11.5143,11.5143,24000
mlp.linear_fc1,46,35.0454,0.291016,0,12.7834,12.7834,24000
mlp.linear_fc2,46,3376,0.644531,0,0.132701,1,24000
self_attention.linear_proj,47,51.75,0.216797,0,8.657,8.657,24000
self_attention.linear_qkv,47,40.2921,0.182617,0,11.1188,11.1188,24000
mlp.linear_fc1,47,36.6467,0.392578,0,12.2248,12.2248,24000
mlp.linear_fc2,47,2784,0.804688,0,0.16092,1,24000
self_attention.linear_proj,48,60.75,0.306641,0,7.37449,7.37449,24000
self_attention.linear_qkv,48,41.3943,0.21875,0,10.8228,10.8228,24000
mlp.linear_fc1,48,38.1287,0.285156,0,11.7497,11.7497,24000
mlp.linear_fc2,48,2288,0.482422,0,0.195804,1,24000
self_attention.linear_proj,61,59,0.466797,0,7.59322,7.59322,24000
self_attention.linear_qkv,61,58.0461,0.206055,0,7.71801,7.71801,24000
mlp.linear_fc1,61,61.7897,0.347656,0,7.2504,7.2504,24000
mlp.linear_fc2,61,16768,0.863281,0,0.0267176,1,24000
self_attention.linear_proj,62,73.5,0.455078,0,6.09524,6.09524,24000
self_attention.linear_qkv,62,61.7441,0.228516,0,7.25575,7.25575,24000
mlp.linear_fc1,62,65.4449,0.269531,0,6.84545,6.84545,24000
mlp.linear_fc2,62,12480,0.910156,0,0.0358974,1,24000
self_attention.linear_proj,63,18.25,0.480469,0,24.5479,24.5479,24000
self_attention.linear_qkv,63,64.6205,0.165039,0,6.93279,6.93279,24000
mlp.linear_fc1,63,69.1896,0.291016,0,6.47497,6.47497,24000
mlp.linear_fc2,63,66560,0.914062,0,0.00673077,1,24000
self_attention.linear_proj,0,16.625,0.851562,0,26.9474,26.9474,28000
self_attention.linear_qkv,0,21.4916,0.25,0,20.8454,20.8454,28000
mlp.linear_fc1,0,5.88346,0.337891,0,76.1457,76.1457,28000
