iter,lm_loss,grad_norm
64450,1.532703,0.415
64455,1.546738,0.377
64460,1.539181,0.385
64465,1.536032,0.42
64470,1.539762,0.494
64475,1.542228,0.435
64480,1.539252,0.461
64485,1.541163,0.408
64490,1.544936,0.421
64495,1.531916,0.508
64500,1.534122,0.471
64505,1.539956,0.404
64510,1.538279,0.393
64515,1.532186,0.438
64520,1.537423,0.55
64525,1.542344,0.405
64530,1.543611,0.426
64535,1.535588,0.403
64540,1.542762,0.46
64545,1.540534,0.45
64550,1.544816,0.455
64555,1.540357,0.428
64560,1.543678,0.372
64565,1.537156,0.386
64570,1.536152,0.404
64575,1.53825,0.384
64580,1.542201,0.468
64585,1.538196,0.446
64590,1.536496,0.404
64595,1.536767,0.405
64600,1.539168,0.431
64605,1.539409,0.444
64610,1.548775,0.526
64615,1.540946,0.395
64620,1.536613,0.412
64625,1.540051,0.438
64630,1.537316,0.447
64635,1.533584,0.407
64640,1.543038,0.447
64645,1.53707,0.452
64650,1.534231,0.371
64655,1.54241,0.416
64660,1.538942,0.404
64665,1.534078,0.47
64670,1.547058,0.387
64675,1.531269,0.43
64680,1.542228,0.392
64685,1.537195,0.57
64690,1.533385,0.385
64695,1.538098,0.488
64700,1.540688,0.417
64705,1.537304,0.384
64710,1.529094,0.407
64715,1.537969,0.463
64720,1.538889,0.472
64725,1.541219,0.379
64730,1.535434,0.446
64735,1.54679,0.377
64740,1.535681,0.451
64745,1.545506,0.455
64750,1.542095,0.402
64755,1.545224,0.582
64760,1.538439,0.43
64765,1.544869,0.445
64770,1.534952,0.44
64775,1.536891,0.41
64780,1.535752,0.368
64785,1.543892,0.379
64790,1.534041,0.482
64795,1.548021,0.463
64800,1.53623,0.417
64805,1.544615,0.401
64810,1.539525,0.407
64815,1.535737,0.387
64820,1.52726,0.67
64825,1.545716,0.462
64830,1.533546,0.379
64835,1.536353,0.356
64840,1.540149,0.424
64845,1.535196,0.499
64850,1.536844,0.407
64855,1.545889,0.443
64860,1.545608,0.43
64865,1.536816,0.423
64870,1.538015,0.431
64875,1.536677,0.393
64880,1.542451,0.409
64885,1.535451,0.386
64890,1.539012,0.417
64895,1.541409,0.441
64900,1.536017,0.414
64905,1.537288,0.423
64910,1.543705,0.417
64915,1.543528,0.422
64920,1.541304,0.527
64925,1.542344,0.442
64930,1.544071,0.42
64935,1.537971,0.408
64940,1.531632,0.381
64945,1.55132,0.373
64950,1.54183,0.4
64955,1.535112,0.455
64960,1.539975,0.469
64965,1.528354,0.435
64970,1.534821,0.402
64975,1.535556,0.472
64980,1.535333,0.462
64985,1.541921,0.461
64990,1.538134,0.401
64995,1.539481,0.411
65000,1.540147,0.447
65005,1.539714,0.44
65010,1.538469,0.387
65015,1.536946,0.429
65020,1.532314,0.398
65025,1.543549,0.436
65030,1.542574,0.403
65035,1.54266,0.437
65040,1.529783,0.405
65045,1.533407,0.465
65050,1.531741,0.433
65055,1.546152,0.465
65060,1.535232,0.412
65065,1.532452,0.443
65070,1.543476,0.396
65075,1.540952,0.492
65080,1.531311,0.39
65085,1.547028,0.411
65090,1.555878,0.423
65095,1.545689,0.477
65100,1.548133,0.46
65105,1.534588,0.402
65110,1.537613,0.376
65115,1.541937,0.43
65120,1.538576,0.432
65125,1.542643,0.45
65130,1.54367,0.403
65135,1.530467,0.445
65140,1.530075,0.496
65145,1.540642,0.415
65150,1.544167,0.446
65155,1.543616,0.422
65160,1.536394,0.385
65165,1.534931,0.424
65170,1.535072,0.581
65175,1.540332,0.406
65180,1.536255,0.519
65185,1.536216,0.409
65190,1.539823,0.421
65195,1.537333,0.432
65200,1.537768,0.4
65205,1.535746,0.397
65210,1.533798,0.416
65215,1.538366,0.437
65220,1.545891,0.441
65225,1.549112,0.387
65230,1.535088,0.409
65235,1.539413,0.422
65240,1.536311,0.416
65245,1.540324,0.391
65250,1.53663,0.395
65255,1.540399,0.418
65260,1.545777,0.43
65265,1.532303,0.376
65270,1.544284,0.403
65275,1.53853,0.484
65280,1.535055,0.42
65285,1.540029,0.373
65290,1.540199,0.485
65295,1.540019,0.38
65300,1.534196,0.447
65305,1.54087,0.38
65310,1.539044,0.455
65315,1.535663,0.433
65320,1.549721,0.399
65325,1.550838,0.37
65330,1.543682,0.44
65335,1.544702,0.509
65340,1.536331,0.428
65345,1.536339,0.446
65350,1.538521,0.406
65355,1.541065,0.428
65360,1.541606,0.62
65365,1.548139,0.422
65370,1.532989,0.429
65375,1.542015,0.408
65380,1.539165,0.389
65385,1.540794,0.452
65390,1.541396,0.443
65395,1.53968,0.455
65400,1.539104,0.43
65405,1.536504,0.46
65410,1.537675,0.442
65415,1.540802,0.428
65420,1.535123,0.452
65425,1.5369,0.422
65430,1.535428,0.464
65435,1.534425,0.423
65440,1.545303,0.373
65445,1.552091,0.46
65450,1.540118,0.497
65455,1.536361,0.457
65460,1.536273,0.42
65465,1.538652,0.392
65470,1.533557,0.41
65475,1.528264,0.432
65480,1.541811,0.428
65485,1.538285,0.371
65490,1.532597,0.396
65495,1.538336,0.468
65500,1.537545,0.424
65505,1.540115,0.452
65510,1.537348,0.452
65515,1.54501,0.377
65520,1.54967,0.415
65525,1.543761,0.382
65530,1.54881,0.432
65535,1.538786,0.53
65540,1.540433,0.515
65545,1.545115,0.421
65550,1.54055,0.366
65555,1.540877,0.421
65560,1.539181,0.412
65565,1.546168,0.423
65570,1.539048,0.429
65575,1.540467,0.37
65580,1.536316,0.402
65585,1.542508,0.424
65590,1.541819,0.424
65595,1.53746,0.424
65600,1.540137,0.608
65605,1.529284,0.389
65610,1.541117,0.409
65615,1.539338,0.389
65620,1.53548,0.38
65625,1.537418,0.472
65630,1.544976,0.415
65635,1.545941,0.441
65640,1.540633,0.424
65645,1.538466,0.391
65650,1.548108,0.376
65655,1.536925,0.429
65660,1.537062,0.418
65665,1.536499,0.416
65670,1.536557,0.436
65675,1.542819,0.377
65680,1.536257,0.404
65685,1.535656,0.493
65690,1.54272,0.379
65695,1.541709,0.448
65700,1.538878,0.379
65705,1.545478,0.415
65710,1.540971,0.437
65715,1.54008,0.425
65720,1.538364,0.39
65725,1.535703,0.464
65730,1.539379,0.467
65735,1.542286,0.367
65740,1.534503,0.401
65745,1.537467,0.411
65750,1.534875,0.395
65755,1.536155,0.442
65760,1.545258,0.433
65765,1.542147,0.405
65770,1.545778,0.385
65775,1.532732,0.449
65780,1.531165,0.385
65785,1.533175,0.439
65790,1.540242,0.475
65795,1.541622,0.401
65800,1.53795,0.433
65805,1.536606,0.438
65810,1.539703,0.431
65815,1.533691,2.986
65820,1.544803,0.566
65825,1.541278,0.435
65830,1.533678,0.389
65835,1.530065,0.372
65840,1.539664,0.387
65845,1.544433,0.412
65850,1.546238,0.455
65855,1.538904,0.442
65860,1.539942,0.405
65865,1.540981,0.388
65870,1.548214,0.458
65875,1.548898,0.406
65880,1.536083,0.402
65885,1.537036,0.44
65890,1.538496,0.454
65895,1.543586,0.481
65900,1.537318,0.409
65905,1.534476,0.405
65910,1.534481,0.388
65915,1.54266,0.486
65920,1.544606,0.388
65925,1.538276,0.465
65930,1.537817,0.411
65935,1.527691,0.444
65940,1.538996,0.386
65945,1.533599,0.392
65950,1.533063,0.484
65955,1.533466,0.389
65960,1.543643,0.462
65965,1.54174,0.403
65970,1.544731,0.371
65975,1.54794,0.389
65980,1.540434,0.442
65985,1.532531,0.406
65990,1.531561,0.41
65995,1.535121,0.536
66000,1.533565,0.396
66005,1.548063,0.397
66010,1.531125,0.436
66015,1.544554,0.43
66020,1.536183,0.413
66025,1.558827,0.422
66030,1.536986,0.408
66035,1.533609,0.464
66040,1.533822,0.435
66045,1.54305,0.401
66050,1.539986,0.47
66055,1.537195,0.447
66060,1.544797,0.429
66065,1.531942,0.461
66070,1.534041,0.417
66075,1.541272,0.425
66080,1.533359,0.387
66085,1.529876,0.447
66090,1.541691,0.422
66095,1.53467,0.423
66100,1.543743,0.412
66105,1.537787,0.378
66110,1.530758,0.479
66115,1.544034,0.394
66120,1.54124,0.4
66125,1.540733,0.409
66126,1.537944,0.45
66130,1.536658,0.548
66135,1.535264,0.385
66140,1.543841,0.431
66145,1.542262,0.386
66150,1.538915,0.385
66155,1.546624,0.443
66160,1.527007,0.434
66165,1.542109,0.382
66170,1.540505,0.385
66175,1.538228,0.393
66180,1.539121,0.372
66185,1.542081,0.423
66190,1.535465,0.499
66195,1.535643,0.47
66200,1.537695,0.389
66205,1.541987,0.445
66210,1.544487,0.538
66215,1.542689,0.401
66220,1.547142,0.481
66225,1.534326,0.402
66230,1.534876,0.392
66235,1.533486,0.408
66240,1.545086,0.426
66245,1.536383,0.393
66250,1.540701,0.406
66255,1.540436,0.37
66260,1.530331,0.432
66265,1.536698,0.43
66270,1.531952,0.398
66275,1.540591,0.392
66280,1.549609,0.475
66285,1.536498,0.412
66290,1.53526,0.429
66295,1.537051,0.463
66300,1.538721,0.392
66305,1.539526,0.444
66310,1.541012,0.391
66315,1.532173,0.427
66320,1.538698,0.407
66325,1.536411,0.44
66330,1.544988,0.439
66335,1.530083,0.447
66340,1.543633,0.418
66345,1.542546,0.453
66350,1.538799,0.399
66355,1.533994,0.377
66360,1.53462,0.475
66365,1.538933,0.447
66370,1.541283,0.416
66375,1.537621,0.419
66380,1.537713,0.367
66385,1.544713,0.397
66390,1.536803,0.504
66395,1.53722,0.504
66400,1.548268,0.457
66405,1.542501,0.409
66410,1.54086,0.436
66415,1.539636,0.405
66420,1.54021,0.408
66425,1.540635,0.406
66430,1.542252,0.458
66435,1.535919,0.456
66440,1.530991,0.439
66445,1.53556,0.436
66450,1.549628,0.486
66455,1.536898,0.383
66460,1.539623,0.393
66465,1.538655,0.392
66470,1.532984,0.541
66475,1.537573,0.441
66480,1.546012,0.421
66485,1.546324,0.42
66490,1.539203,0.409
66495,1.533409,0.393
66500,1.546809,0.432
66505,1.535597,0.42
66510,1.53948,0.428
66515,1.542616,0.392
66520,1.540703,0.504
66525,1.546105,0.395
66530,1.538534,0.425
66535,1.54812,0.38
66540,1.53951,0.457
66545,1.532169,0.448
66550,1.535131,0.437
66555,1.543331,0.459
66560,1.526008,0.391
66565,1.536406,0.399
66570,1.538568,0.503
66575,1.540604,0.415
66580,1.54402,0.389
66585,1.540511,0.423
66590,1.538713,0.45
66595,1.548676,0.435
66600,1.538241,0.415
66605,1.535192,0.423
66610,1.5393,0.418
66615,1.529723,0.431
66620,1.53436,0.404
66625,1.533071,0.443
66630,1.540466,0.457
66635,1.530018,0.432
66640,1.535807,0.453
66645,1.538181,0.481
66650,1.53911,0.439
66655,1.533017,0.401
66660,1.526359,0.383
66665,1.537775,0.374
66670,1.539475,0.405
66675,1.539223,0.397
66680,1.540439,0.393
66685,1.540115,0.398
66690,1.529772,0.428
66695,1.538616,0.519
66700,1.541283,0.417
66705,1.549212,0.445
66710,1.540379,0.405
66715,1.548549,0.398
66720,1.538709,0.413
66725,1.54034,0.404
66730,1.539433,0.416
66735,1.539714,0.475
66740,1.542135,0.403
66745,1.537537,0.397
66750,1.543403,0.468
66755,1.543689,0.411
66760,1.539714,0.399
66765,1.546883,0.385
66770,1.534239,0.451
66775,1.540783,0.428
66780,1.53317,0.428
66785,1.534141,0.483
66790,1.532801,0.399
66795,1.535432,0.453
66800,1.5357,0.399
66805,1.537551,0.387
66810,1.536697,0.379
66815,1.541549,0.471
66820,1.542576,0.483
66825,1.538895,0.383
66830,1.535351,0.517
66835,1.542831,0.502
66840,1.535062,0.426
66845,1.541077,0.479
66850,1.541939,0.409
66855,1.535464,0.445
66860,1.543424,0.382
66865,1.546412,0.42
66870,1.537647,0.481
66875,1.541479,0.384
66880,1.53412,0.382
66885,1.544718,0.452
66890,1.54562,0.448
66895,1.53863,0.454
66900,1.539722,0.409
66905,1.53955,0.45
66910,1.545315,0.396
66915,1.537922,0.384
66920,1.53698,0.453
66925,1.537057,0.415
66930,1.546366,0.431
66935,1.545518,0.411
66940,1.545928,0.365
66945,1.534753,0.413
66950,1.534209,0.399
66955,1.535593,0.439
66960,1.53754,0.44
66965,1.540928,0.394
66970,1.548902,0.532
66975,1.541974,0.435
66980,1.537459,0.427
66985,1.538065,0.405
66990,1.540856,0.397
66995,1.544731,0.479
67000,1.540297,0.45
67005,1.534557,0.376
67010,1.535165,0.395
67015,1.545834,0.41
67020,1.541196,0.413
67025,1.539537,0.443
67030,1.533992,0.47
67035,1.541048,0.469
67040,1.545868,0.429
67045,1.545137,0.421
67050,1.538944,0.46
67055,1.543049,0.4
67060,1.537485,0.48
67065,1.535131,0.45
67070,1.542826,0.426
67075,1.552635,0.569
67080,1.536807,0.449
67085,1.534739,0.408
67090,1.537715,0.397
67095,1.549711,0.399
67100,1.538695,0.434
67105,1.536538,0.389
67110,1.53984,0.43
67115,1.538221,0.466
67120,1.536745,0.422
67125,1.546836,0.396
67130,1.540994,0.4
67135,1.5431,0.483
67140,1.542082,0.455
67145,1.546924,0.374
67150,1.542252,0.38
67155,1.536257,0.442
67160,1.549846,0.397
67165,1.534435,0.443
67170,1.540954,0.457
67175,1.534742,0.426
67180,1.542587,0.379
67185,1.540201,0.444
67190,1.536164,0.465
67195,1.54346,0.423
67200,1.5466,0.523
67205,1.533459,0.408
67210,1.537177,0.418
67215,1.534606,0.465
67220,1.538659,0.436
67225,1.539734,0.447
67230,1.549908,0.404
67235,1.535919,0.419
67240,1.541307,0.45
67245,1.542028,0.449
67250,1.537338,0.386
67255,1.54615,0.41
67260,1.531488,0.451
67265,1.536497,0.448
67270,1.541783,0.374
67275,1.542838,0.486
67280,1.546688,0.405
67285,1.548164,0.441
67290,1.543846,0.406
67295,1.535395,0.476
67300,1.545746,0.383
67305,1.545746,0.509
67310,1.533187,0.486
67315,1.543769,0.406
67320,1.545509,0.417
67325,1.540523,0.419
67330,1.539604,0.468
67335,1.545804,0.412
67340,1.542098,0.539
67345,1.539703,0.399
67350,1.532969,0.378
67355,1.548198,0.424
67360,1.539061,0.381
67365,1.543829,1.45
67370,1.538206,0.381
67375,1.527568,0.389
67380,1.537862,0.437
67385,1.549243,0.448
67390,1.54041,0.482
67395,1.541518,0.44
67400,1.54338,0.422
67405,1.550912,0.448
67410,1.541555,0.392
67415,1.535977,0.474
67420,1.548057,0.438
67425,1.533516,0.414
67430,1.533092,0.417
67435,1.539272,0.441
67440,1.540632,0.4
67445,1.541925,0.429
67450,1.543223,0.382
67455,1.531971,0.517
67460,1.544183,0.406
67465,1.549642,0.429
67470,1.540748,0.37
67475,1.54716,0.4
67480,1.539256,0.421
67485,1.541982,0.382
67490,1.530551,0.437
67495,1.541163,0.418
67500,1.544179,0.508
67505,1.541299,0.503
67510,1.542017,0.431
67515,1.541382,0.393
67520,1.542053,0.451
67525,1.541009,0.442
67530,1.53276,0.523
67535,1.549729,0.473
67540,1.555832,0.44
67545,1.539676,0.381
67550,1.545979,0.398
67555,1.5429,0.416
67560,1.532463,0.479
67565,1.545023,0.437
67570,1.535691,0.419
67575,1.539513,0.409
67580,1.531589,0.476
67585,1.531468,0.404
67590,1.543785,0.421
67595,1.54625,0.427
67600,1.539366,0.482
67605,1.534919,0.465
67610,1.543798,0.418
67615,1.541905,0.404
67620,1.540954,0.416
67625,1.544162,0.425
67630,1.552526,0.406
67635,1.544406,0.41
67640,1.543323,0.483
67645,1.540433,0.383
67650,1.549009,0.41
67655,1.539798,0.411
67660,1.54902,0.555
67665,1.54486,0.397
67670,1.541322,0.488
67675,1.542323,0.431
67680,1.537228,0.404
67685,1.536704,0.402
67690,1.541996,0.497
67695,1.534972,0.382
67700,1.538874,0.411
67705,1.546648,0.452
67710,1.53421,0.476
67715,1.537522,0.419
67720,1.546593,0.436
67725,1.551243,0.398
67730,1.534676,0.391
67735,1.543534,0.458
67740,1.544866,0.414
67745,1.538374,0.424
67750,1.539781,0.391
67755,1.536844,0.593
67760,1.544998,0.44
67765,1.54665,0.392
67770,1.545693,0.407
67775,1.551829,0.429
67780,1.552969,0.492
67785,1.538157,0.533
67790,1.541093,0.438
67795,1.550461,0.399
67800,1.548939,0.479
67805,1.539233,0.41
67810,1.543733,0.424
67815,1.548478,0.443
67820,1.54096,0.413
67825,1.541726,0.383
67830,1.546339,0.528
67835,1.542997,0.617
67840,1.539277,0.443
67845,1.54708,0.418
67850,1.54397,0.427
67855,1.545025,0.487
67860,1.537779,0.485
67865,1.546102,0.427
67870,1.544663,0.424
67875,1.554264,0.462
67880,1.54687,0.477
67885,1.539095,0.396
67890,1.535456,0.454
67895,1.544929,0.973
67900,1.542025,0.599
67905,1.547573,0.433
67910,1.540756,0.436
67915,1.54525,0.473
67920,1.539632,0.402
67925,1.543386,0.463
67930,1.53566,0.485
67935,1.549439,0.473
67940,1.55005,0.494
67945,1.548835,0.501
67950,1.543204,0.43
67955,1.545633,0.477
67960,1.544825,0.427
67965,1.54487,0.412
67970,1.543329,0.413
67975,1.537795,0.469
67980,1.541175,0.458
67985,1.53877,0.424
67990,1.546912,0.421
67995,1.543699,0.442
68000,1.544491,0.527
