run,iteration,norm_family,tensor,layer,numel,gain_rms,gain_abs_max,baseline_iteration,gain_rms_ratio_to_baseline,finite_frac,zero_frac,sample_relative_delta_rms,sample_cosine,sample_sign_flip_frac
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,36,5120,0.981901532,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,37,5120,0.981531074,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,38,5120,0.982043103,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,39,5120,0.981688187,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,40,5120,0.982082763,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,41,5120,0.982041991,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,42,5120,0.98215522,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,43,5120,0.982644931,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,44,5120,0.982940786,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,45,5120,0.98546458,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,46,5120,0.988659481,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,47,5120,0.985461613,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,48,5120,0.991137885,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,49,5120,0.996217437,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,50,5120,0.987914092,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,51,5120,0.988343372,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,52,5120,0.987995553,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,53,5120,0.993753525,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,54,5120,0.990808406,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,55,5120,0.997035353,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,56,5120,0.992858011,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,57,5120,0.99842235,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,58,5120,0.996936205,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,59,5120,0.999060325,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,60,5120,0.994952105,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,61,5120,0.998212237,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,62,5120,0.995530838,1.0078125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,63,5120,0.995993757,1.0078125,4000,1,1,0,0,1,0
flagship,4000,final_norm,decoder.final_layernorm.weight,-1,5120,1.10695637,1.2109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,0,128,0.965630215,1.03125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,1,128,1.07968116,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,2,128,1.12561739,1.1796875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,3,128,1.14233396,1.1875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,4,128,1.1110258,1.1484375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,5,128,1.12247948,1.1640625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,6,128,1.15834474,1.1953125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,7,128,1.15182494,1.1953125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,8,128,1.08850968,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,9,128,1.0455874,1.125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,10,128,1.0331853,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,11,128,1.03054791,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,12,128,1.036671,1.09375,4000,1,1,0,0,1,0
