iter,run,tensor,layer,wmax,wrms
64000,cont4b,self_attention.linear_proj,21,1.625,0.0376255
64000,cont4b,self_attention.linear_proj,22,1.375,0.0408496
64000,cont4b,self_attention.linear_proj,23,1.55469,0.0404702
64000,cont4b,self_attention.linear_proj,24,0.636719,0.0403329
64000,cont4b,self_attention.linear_proj,25,0.679688,0.0392581
64000,cont4b,self_attention.linear_proj,26,0.871094,0.0383905
64000,cont4b,self_attention.linear_proj,27,0.554688,0.0425342
64000,cont4b,self_attention.linear_proj,28,0.589844,0.0394413
64000,cont4b,self_attention.linear_proj,29,0.675781,0.0396189
64000,cont4b,self_attention.linear_proj,30,0.667969,0.0412299
64000,cont4b,self_attention.linear_proj,31,0.652344,0.0365109
64000,cont4b,self_attention.linear_proj,32,0.542969,0.0380711
64000,cont4b,self_attention.linear_proj,33,0.582031,0.0372931
64000,cont4b,self_attention.linear_proj,34,0.542969,0.0406637
64000,cont4b,self_attention.linear_proj,35,0.800781,0.0385085
64000,cont4b,self_attention.linear_proj,36,0.558594,0.0363499
64000,cont4b,self_attention.linear_proj,37,0.871094,0.0333468
64000,cont4b,self_attention.linear_proj,38,0.789062,0.0357122
64000,cont4b,self_attention.linear_proj,39,0.976562,0.0343392
64000,cont4b,self_attention.linear_proj,40,0.683594,0.0353116
64000,cont4b,self_attention.linear_proj,41,0.443359,0.0347677
64000,cont4b,self_attention.linear_proj,42,0.492188,0.0342694
64000,cont4b,self_attention.linear_proj,43,0.679688,0.0345235
64000,cont4b,self_attention.linear_proj,44,0.402344,0.0353089
64000,cont4b,self_attention.linear_proj,45,0.490234,0.0357951
64000,cont4b,self_attention.linear_proj,46,0.384766,0.0362411
64000,cont4b,self_attention.linear_proj,47,0.644531,0.0340732
64000,cont4b,self_attention.linear_proj,48,0.515625,0.0371522
64000,cont4b,self_attention.linear_proj,49,0.636719,0.0353748
64000,cont4b,self_attention.linear_proj,50,0.957031,0.0350799
64000,cont4b,self_attention.linear_proj,51,0.378906,0.0374103
64000,cont4b,self_attention.linear_proj,52,0.96875,0.0364094
64000,cont4b,self_attention.linear_proj,53,0.519531,0.0378133
64000,cont4b,self_attention.linear_proj,54,0.90625,0.036782
64000,cont4b,self_attention.linear_proj,55,0.847656,0.0369451
64000,cont4b,self_attention.linear_proj,56,1,0.0374182
64000,cont4b,self_attention.linear_proj,57,0.789062,0.0352922
64000,cont4b,self_attention.linear_proj,58,0.628906,0.0354906
64000,cont4b,self_attention.linear_proj,59,0.503906,0.0338027
64000,cont4b,self_attention.linear_proj,60,0.574219,0.0309152
64000,cont4b,self_attention.linear_proj,61,0.578125,0.028155
64000,cont4b,self_attention.linear_proj,62,0.671875,0.0235389
64000,cont4b,self_attention.linear_proj,63,0.640625,0.0184181
64000,cont4b,mlp.linear_fc2,0,2.46875,0.0389369
64000,cont4b,mlp.linear_fc2,1,3.84375,0.0389856
64000,cont4b,mlp.linear_fc2,2,2.57812,0.0413194
64000,cont4b,mlp.linear_fc2,3,1.78906,0.0409372
64000,cont4b,mlp.linear_fc2,4,2.46875,0.0406826
64000,cont4b,mlp.linear_fc2,5,4.5,0.0404919
64000,cont4b,mlp.linear_fc2,6,2.125,0.0409848
64000,cont4b,mlp.linear_fc2,7,2.65625,0.0415755
64000,cont4b,mlp.linear_fc2,8,2.75,0.0420697
64000,cont4b,mlp.linear_fc2,9,3.40625,0.0421034
64000,cont4b,mlp.linear_fc2,10,3.40625,0.0421876
64000,cont4b,mlp.linear_fc2,11,2.76562,0.0422412
64000,cont4b,mlp.linear_fc2,12,2.46875,0.0421765
64000,cont4b,mlp.linear_fc2,13,2.60938,0.0420294
64000,cont4b,mlp.linear_fc2,14,1.69531,0.0417957
64000,cont4b,mlp.linear_fc2,15,2.1875,0.0414547
64000,cont4b,mlp.linear_fc2,16,1.91406,0.0411397
64000,cont4b,mlp.linear_fc2,17,2.09375,0.0412241
64000,cont4b,mlp.linear_fc2,18,1.54688,0.0412162
64000,cont4b,mlp.linear_fc2,19,1.72656,0.0413069
64000,cont4b,mlp.linear_fc2,20,1.75,0.0413394
64000,cont4b,mlp.linear_fc2,21,2.03125,0.0412612
64000,cont4b,mlp.linear_fc2,22,1.39062,0.0413133
64000,cont4b,mlp.linear_fc2,23,2.28125,0.0414174
64000,cont4b,mlp.linear_fc2,24,1.19531,0.0417754
